signal_bar_open_utc,decision_available_utc,session_date,spot,event_family,events,campaign_health,phase_confidence,weakness_count,partition,anchor_id
2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23,5.0229,CONTINUATION,RELOAD,76.0,52.0,0.0,DISCOVERY,AMC15X-001
2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00,2024-08-26,5.1701,RISK_OR_EXHAUSTION,MANAGE,95.0,75.0,0.0,DISCOVERY,AMC15X-002
2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30,4.89,ENTRY_FORMING,STRONG START,82.0,54.0,0.0,DISCOVERY,AMC15X-003
2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,2024-09-03,4.8018,THESIS_PRESSURE,FAIL TEST,3.0,0.0,9.0,DISCOVERY,AMC15X-004
2024-09-09T19:45:00+00:00,2024-09-09T20:00:00+00:00,2024-09-09,5.01,ENTRY_FORMING,STRONG START,99.0,67.0,0.0,DISCOVERY,AMC15SUP-001
2024-09-10T19:30:00+00:00,2024-09-10T19:45:00+00:00,2024-09-10,4.9214,CONTINUATION,RELOAD,26.0,34.0,0.0,DISCOVERY,AMC15SUP-002
2024-10-04T13:30:00+00:00,2024-10-04T13:45:00+00:00,2024-10-04,4.4703,ENTRY_FORMING,STRONG START,93.0,62.0,0.0,DISCOVERY,AMC15SUP-003
2024-10-10T19:15:00+00:00,2024-10-10T19:30:00+00:00,2024-10-10,4.171,ENTRY_FORMING,CAMPAIGN START,85.0,54.0,0.0,DISCOVERY,AMC15X-005
2024-10-18T16:00:00+00:00,2024-10-18T16:15:00+00:00,2024-10-18,4.312,CONTINUATION,ADD,99.0,73.0,0.0,DISCOVERY,AMC15SUP-004
2024-10-22T19:15:00+00:00,2024-10-22T19:30:00+00:00,2024-10-22,4.33,ENTRY_FORMING,STRONG START,99.0,81.0,0.0,DISCOVERY,AMC15SUP-005
2024-10-22T19:30:00+00:00,2024-10-22T19:45:00+00:00,2024-10-22,4.325,RISK_OR_EXHAUSTION,PEAK,100.0,80.0,0.0,DISCOVERY,AMC15X-006
2024-10-23T15:15:00+00:00,2024-10-23T15:30:00+00:00,2024-10-23,4.26,THESIS_PRESSURE,FAIL TEST,14.0,3.0,6.0,DISCOVERY,AMC15X-007
2024-10-24T13:45:00+00:00,2024-10-24T14:00:00+00:00,2024-10-24,4.2699,CONTINUATION,RELOAD,50.0,46.0,0.0,DISCOVERY,AMC15X-008
2024-10-30T14:15:00+00:00,2024-10-30T14:30:00+00:00,2024-10-30,4.5871,RISK_OR_EXHAUSTION,PEAK,100.0,84.0,0.0,DISCOVERY,AMC15X-009
2024-11-01T13:45:00+00:00,2024-11-01T14:00:00+00:00,2024-11-01,4.5,CONTINUATION,RELOAD,81.0,58.0,0.0,DISCOVERY,AMC15SUP-006
2024-11-08T20:45:00+00:00,2024-11-08T21:00:00+00:00,2024-11-08,4.275,ENTRY_FORMING,STRONG START,72.0,52.0,0.0,DISCOVERY,AMC15X-010
2024-11-12T14:30:00+00:00,2024-11-12T14:45:00+00:00,2024-11-12,4.49,CONTINUATION,ADD,0.0,5.0,15.0,DISCOVERY,AMC15X-011
2024-11-14T18:00:00+00:00,2024-11-14T18:15:00+00:00,2024-11-14,4.645,CONTINUATION,RELOAD,39.0,42.0,0.0,DISCOVERY,AMC15SUP-007
2024-11-15T15:15:00+00:00,2024-11-15T15:30:00+00:00,2024-11-15,4.5348,THESIS_PRESSURE,FAIL (any severity),3.0,0.0,11.0,DISCOVERY,AMC15X-012
2024-11-20T15:45:00+00:00,2024-11-20T16:00:00+00:00,2024-11-20,4.3874,ENTRY_FORMING,STRONG START,84.0,58.0,0.0,DISCOVERY,AMC15SUP-008
2024-11-22T15:15:00+00:00,2024-11-22T15:30:00+00:00,2024-11-22,4.545,RISK_OR_EXHAUSTION,PEAK,100.0,89.0,0.0,DISCOVERY,AMC15X-013
2024-11-27T14:45:00+00:00,2024-11-27T15:00:00+00:00,2024-11-27,4.98,CONTINUATION,ADD,70.0,46.0,4.0,DISCOVERY,AMC15X-014
2024-11-27T19:30:00+00:00,2024-11-27T19:45:00+00:00,2024-11-27,4.8999,CONTINUATION,ADD,100.0,73.0,0.0,DISCOVERY,AMC15SUP-009
2024-12-05T17:15:00+00:00,2024-12-05T17:30:00+00:00,2024-12-05,5.05,CONTINUATION,ADD,0.0,0.0,26.0,DISCOVERY,AMC15SUP-010
2024-12-05T19:45:00+00:00,2024-12-05T20:00:00+00:00,2024-12-05,5.5142,RISK_OR_EXHAUSTION,MANAGE,0.0,0.0,16.0,DISCOVERY,AMC15X-015
2024-12-17T14:30:00+00:00,2024-12-17T14:45:00+00:00,2024-12-17,4.11,ENTRY_FORMING,STRONG START,84.0,58.0,0.0,DISCOVERY,AMC15X-016
2024-12-20T20:30:00+00:00,2024-12-20T20:45:00+00:00,2024-12-20,4.185,ENTRY_FORMING,STRONG START,90.0,57.0,0.0,DISCOVERY,AMC15SUP-011
2024-12-24T17:30:00+00:00,2024-12-24T17:45:00+00:00,2024-12-24,4.065,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,14.0,DISCOVERY,AMC15X-017
2024-12-26T14:30:00+00:00,2024-12-26T14:45:00+00:00,2024-12-26,4.105,CONTINUATION,RELOAD,49.0,42.0,0.0,DISCOVERY,AMC15X-018
2025-01-06T19:15:00+00:00,2025-01-06T19:30:00+00:00,2025-01-06,4.0827,CONTINUATION,ADD,97.0,89.0,0.0,DISCOVERY,AMC15SUP-012
2025-01-16T19:45:00+00:00,2025-01-16T20:00:00+00:00,2025-01-16,3.6386,ENTRY_FORMING,STRONG START,95.0,64.0,0.0,DISCOVERY,AMC15SUP-013
2025-01-17T15:30:00+00:00,2025-01-17T15:45:00+00:00,2025-01-17,3.745,CONTINUATION,ADD,98.0,70.0,0.0,DISCOVERY,AMC15X-019
2025-01-27T17:45:00+00:00,2025-01-27T18:00:00+00:00,2025-01-27,3.365,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,DISCOVERY,AMC15X-020
2025-01-28T19:30:00+00:00,2025-01-28T19:45:00+00:00,2025-01-28,3.335,ENTRY_FORMING,STRONG START,80.0,55.0,0.0,DISCOVERY,AMC15X-021
2025-02-10T20:15:00+00:00,2025-02-10T20:30:00+00:00,2025-02-10,3.16,ENTRY_FORMING,STRONG START,96.0,65.0,0.0,DISCOVERY,AMC15SUP-014
2025-02-12T16:45:00+00:00,2025-02-12T17:00:00+00:00,2025-02-12,3.445,CONTINUATION,ADD,100.0,80.0,0.0,DISCOVERY,AMC15SUP-015
2025-02-12T18:15:00+00:00,2025-02-12T18:30:00+00:00,2025-02-12,3.505,RISK_OR_EXHAUSTION,PEAK,100.0,83.0,0.0,DISCOVERY,AMC15X-022
2025-02-25T20:45:00+00:00,2025-02-25T21:00:00+00:00,2025-02-25,3.29,ENTRY_FORMING,STRONG START,86.0,58.0,0.0,DISCOVERY,AMC15X-023
2025-02-27T15:00:00+00:00,2025-02-27T15:15:00+00:00,2025-02-27,3.34,CONTINUATION,RELOAD,63.0,47.0,0.0,DISCOVERY,AMC15SUP-016
2025-02-28T15:45:00+00:00,2025-02-28T16:00:00+00:00,2025-02-28,3.285,CONTINUATION,RELOAD,62.0,44.0,0.0,DISCOVERY,AMC15X-024
2025-03-07T14:45:00+00:00,2025-03-07T15:00:00+00:00,2025-03-07,3.04,ENTRY_FORMING,STRONG START,79.0,52.0,0.0,DISCOVERY,AMC15SUP-017
2025-03-07T17:00:00+00:00,2025-03-07T17:15:00+00:00,2025-03-07,3.0139,THESIS_PRESSURE,FAIL TEST,34.0,7.0,9.0,DISCOVERY,AMC15X-025
2025-03-19T19:30:00+00:00,2025-03-19T19:45:00+00:00,2025-03-19,3.065,CONTINUATION,ADD,78.0,53.0,2.0,DISCOVERY,AMC15SUP-018
2025-04-04T19:30:00+00:00,2025-04-04T19:45:00+00:00,2025-04-04,2.6137,ENTRY_FORMING,STRONG START,82.0,54.0,0.0,DISCOVERY,AMC15SUP-019
2025-04-08T13:30:00+00:00,2025-04-08T13:45:00+00:00,2025-04-08,2.765,CONTINUATION,RELOAD,83.0,61.0,0.0,DISCOVERY,AMC15X-026
2025-04-08T18:00:00+00:00,2025-04-08T18:15:00+00:00,2025-04-08,2.685,THESIS_PRESSURE,FAIL (any severity),3.0,0.0,9.0,DISCOVERY,AMC15X-027
2025-04-09T18:30:00+00:00,2025-04-09T18:45:00+00:00,2025-04-09,2.825,CONTINUATION,ADD,9.0,5.0,10.0,DISCOVERY,AMC15SUP-020
2025-04-10T19:30:00+00:00,2025-04-10T19:45:00+00:00,2025-04-10,2.863,ENTRY_FORMING,CAMPAIGN START,100.0,72.0,0.0,DISCOVERY,AMC15X-028
2025-04-28T15:30:00+00:00,2025-04-28T15:45:00+00:00,2025-04-28,2.7408,CONTINUATION,RELOAD,71.0,52.0,0.0,DISCOVERY,AMC15X-029
2025-04-28T19:00:00+00:00,2025-04-28T19:15:00+00:00,2025-04-28,2.71,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,12.0,DISCOVERY,AMC15X-030
2025-04-29T13:30:00+00:00,2025-04-29T13:45:00+00:00,2025-04-29,2.7281,CONTINUATION,RELOAD,38.0,36.0,0.0,DISCOVERY,AMC15SUP-021
2025-05-06T19:45:00+00:00,2025-05-06T20:00:00+00:00,2025-05-06,2.685,ENTRY_FORMING,STRONG START,90.0,63.0,0.0,DISCOVERY,AMC15SUP-022
2025-05-09T18:45:00+00:00,2025-05-09T19:00:00+00:00,2025-05-09,2.7502,ENTRY_FORMING,STRONG START,100.0,73.0,0.0,DISCOVERY,AMC15X-031
2025-05-16T15:30:00+00:00,2025-05-16T15:45:00+00:00,2025-05-16,3.09,RISK_OR_EXHAUSTION,MANAGE,93.0,62.0,0.0,DISCOVERY,AMC15X-032
2025-05-20T15:45:00+00:00,2025-05-20T16:00:00+00:00,2025-05-20,2.945,CONTINUATION,ADD,98.0,71.0,0.0,DISCOVERY,AMC15SUP-023
2025-05-21T13:45:00+00:00,2025-05-21T14:00:00+00:00,2025-05-21,2.985,CONTINUATION,ADD,99.0,80.0,0.0,DISCOVERY,AMC15X-033
2025-05-23T19:30:00+00:00,2025-05-23T19:45:00+00:00,2025-05-23,3.235,ENTRY_FORMING,STRONG START,100.0,67.0,0.0,DISCOVERY,AMC15SUP-024
2025-06-10T17:00:00+00:00,2025-06-10T17:15:00+00:00,2025-06-10,3.375,ENTRY_FORMING,STRONG START,84.0,57.0,0.0,DISCOVERY,AMC15X-034
2025-06-11T19:45:00+00:00,2025-06-11T20:00:00+00:00,2025-06-11,3.3,THESIS_PRESSURE,FAIL TEST,1.0,0.0,9.0,DISCOVERY,AMC15X-035
2025-06-13T17:15:00+00:00,2025-06-13T17:30:00+00:00,2025-06-13,3.2001,ENTRY_FORMING,STRONG START,82.0,56.0,0.0,DISCOVERY,AMC15SUP-025
2025-06-25T19:00:00+00:00,2025-06-25T19:15:00+00:00,2025-06-25,2.996,CONTINUATION,RELOAD,0.0,16.0,0.0,DISCOVERY,AMC15SUP-026
2025-06-30T19:30:00+00:00,2025-06-30T19:45:00+00:00,2025-06-30,3.055,ENTRY_FORMING,STRONG START,89.0,62.0,0.0,DISCOVERY,AMC15SUP-027
2025-07-02T19:00:00+00:00,2025-07-02T19:15:00+00:00,2025-07-02,2.8746,ENTRY_FORMING,STRONG START,74.0,53.0,0.0,DISCOVERY,AMC15X-036
