anchor_id,partition,event_family,signal_bar_open_utc,decision_available_utc,mode,source_status,source_reason,source,source_as_of_utc,active,filing_count,severity,base_form,category,age_hours,capacity_only,available_at_utc,accession,direction_claim
AMC15X-001,DISCOVERY,CONTINUATION,2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15X-001,DISCOVERY,CONTINUATION,2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15X-002,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15X-002,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15X-003,DISCOVERY,ENTRY_FORMING,2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15X-003,DISCOVERY,ENTRY_FORMING,2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15X-004,DISCOVERY,THESIS_PRESSURE,2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15X-004,DISCOVERY,THESIS_PRESSURE,2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15SUP-001,DISCOVERY,ENTRY_FORMING,2024-09-09T19:45:00+00:00,2024-09-09T20:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15SUP-001,DISCOVERY,ENTRY_FORMING,2024-09-09T19:45:00+00:00,2024-09-09T20:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15SUP-002,DISCOVERY,CONTINUATION,2024-09-10T19:30:00+00:00,2024-09-10T19:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15SUP-002,DISCOVERY,CONTINUATION,2024-09-10T19:30:00+00:00,2024-09-10T19:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15SUP-003,DISCOVERY,ENTRY_FORMING,2024-10-04T13:30:00+00:00,2024-10-04T13:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15SUP-003,DISCOVERY,ENTRY_FORMING,2024-10-04T13:30:00+00:00,2024-10-04T13:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15X-005,DISCOVERY,ENTRY_FORMING,2024-10-10T19:15:00+00:00,2024-10-10T19:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15X-005,DISCOVERY,ENTRY_FORMING,2024-10-10T19:15:00+00:00,2024-10-10T19:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15SUP-004,DISCOVERY,CONTINUATION,2024-10-18T16:00:00+00:00,2024-10-18T16:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15SUP-004,DISCOVERY,CONTINUATION,2024-10-18T16:00:00+00:00,2024-10-18T16:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15SUP-005,DISCOVERY,ENTRY_FORMING,2024-10-22T19:15:00+00:00,2024-10-22T19:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15SUP-005,DISCOVERY,ENTRY_FORMING,2024-10-22T19:15:00+00:00,2024-10-22T19:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15X-006,DISCOVERY,RISK_OR_EXHAUSTION,2024-10-22T19:30:00+00:00,2024-10-22T19:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15X-006,DISCOVERY,RISK_OR_EXHAUSTION,2024-10-22T19:30:00+00:00,2024-10-22T19:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15X-007,DISCOVERY,THESIS_PRESSURE,2024-10-23T15:15:00+00:00,2024-10-23T15:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15X-007,DISCOVERY,THESIS_PRESSURE,2024-10-23T15:15:00+00:00,2024-10-23T15:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15X-008,DISCOVERY,CONTINUATION,2024-10-24T13:45:00+00:00,2024-10-24T14:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15X-008,DISCOVERY,CONTINUATION,2024-10-24T13:45:00+00:00,2024-10-24T14:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15X-009,DISCOVERY,RISK_OR_EXHAUSTION,2024-10-30T14:15:00+00:00,2024-10-30T14:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15X-009,DISCOVERY,RISK_OR_EXHAUSTION,2024-10-30T14:15:00+00:00,2024-10-30T14:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
AMC15SUP-006,DISCOVERY,CONTINUATION,2024-11-01T13:45:00+00:00,2024-11-01T14:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
AMC15SUP-006,DISCOVERY,CONTINUATION,2024-11-01T13:45:00+00:00,2024-11-01T14:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
