partition,event_family,contract_type,dte_target,anchors,contracts,ready,matched_bars_min,matched_bars_max,censored
DISCOVERY,CONTINUATION,CALL,14,35,35,33,59,451,33
DISCOVERY,CONTINUATION,CALL,30,35,35,29,43,160,27
DISCOVERY,CONTINUATION,PUT,14,35,35,21,29,314,21
DISCOVERY,CONTINUATION,PUT,30,35,35,10,8,91,10
DISCOVERY,ENTRY_FORMING,CALL,14,35,35,30,40,403,30
DISCOVERY,ENTRY_FORMING,CALL,30,35,35,24,23,195,24
DISCOVERY,ENTRY_FORMING,PUT,14,35,35,20,28,262,20
DISCOVERY,ENTRY_FORMING,PUT,30,35,35,12,11,150,12
DISCOVERY,RISK_OR_EXHAUSTION,CALL,14,15,15,15,86,381,15
DISCOVERY,RISK_OR_EXHAUSTION,CALL,30,15,15,15,57,155,14
DISCOVERY,RISK_OR_EXHAUSTION,PUT,14,15,15,12,22,151,12
DISCOVERY,RISK_OR_EXHAUSTION,PUT,30,15,15,5,5,106,6
DISCOVERY,THESIS_PRESSURE,CALL,14,15,15,12,42,286,12
DISCOVERY,THESIS_PRESSURE,CALL,30,15,15,6,26,120,6
DISCOVERY,THESIS_PRESSURE,PUT,14,15,15,10,35,170,10
DISCOVERY,THESIS_PRESSURE,PUT,30,15,15,4,13,70,4
HOLDOUT,CONTINUATION,CALL,14,9,9,9,31,400,9
HOLDOUT,CONTINUATION,CALL,30,13,13,12,22,247,12
HOLDOUT,CONTINUATION,PUT,14,9,9,4,17,213,4
HOLDOUT,CONTINUATION,PUT,30,13,13,8,7,178,8
HOLDOUT,ENTRY_FORMING,CALL,14,16,16,15,64,511,15
HOLDOUT,ENTRY_FORMING,CALL,30,17,17,16,13,232,16
HOLDOUT,ENTRY_FORMING,PUT,14,16,16,8,22,437,8
HOLDOUT,ENTRY_FORMING,PUT,30,17,17,6,1,143,7
HOLDOUT,RISK_OR_EXHAUSTION,CALL,14,4,4,4,121,277,4
HOLDOUT,RISK_OR_EXHAUSTION,CALL,30,3,3,3,64,137,3
HOLDOUT,RISK_OR_EXHAUSTION,PUT,14,4,4,2,25,129,2
HOLDOUT,RISK_OR_EXHAUSTION,PUT,30,3,3,2,6,47,3
HOLDOUT,THESIS_PRESSURE,CALL,14,6,6,4,39,393,4
HOLDOUT,THESIS_PRESSURE,CALL,30,5,5,2,26,148,2
HOLDOUT,THESIS_PRESSURE,PUT,14,6,6,6,19,217,6
HOLDOUT,THESIS_PRESSURE,PUT,30,5,5,2,5,68,2
