episode_id,entry_anchor_id,ticker,contract_type,strike,expiration,dte_target,moneyness_target,partition,entry_event_family,entry_signal_bar_open_utc,entry_decision_available_utc,entry_execution_bar_open_utc,entry_price,execution_status,research_scope,episode_end_utc
OPT-LONG-8c040a30bb5ed18d,AMC15X-001,O:AMC240906C00005000,CALL,5.0,2024-09-06,14,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23T15:30:00+00:00,0.21,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-06T23:59:59.999999+00:00
OPT-LONG-1e268be0e8a395e1,AMC15X-001,O:AMC240920C00005000,CALL,5.0,2024-09-20,30,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23T15:30:00+00:00,0.32,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-13T15:30:00+00:00
OPT-LONG-f4e336319c8a14b5,AMC15X-003,O:AMC240913C00005000,CALL,5.0,2024-09-13,14,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30T18:15:00+00:00,0.21,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-13T23:59:59.999999+00:00
OPT-LONG-ef164012272d8224,AMC15X-003,O:AMC240927C00005000,CALL,5.0,2024-09-27,30,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30T18:15:00+00:00,0.32,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-20T18:15:00+00:00
OPT-LONG-17de2d17b963ff95,AMC15SUP-002,O:AMC240927C00005000,CALL,5.0,2024-09-27,14,0.0,DISCOVERY,CONTINUATION,2024-09-10T19:30:00+00:00,2024-09-10T19:45:00+00:00,2024-09-10T19:45:00+00:00,0.28,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-27T23:59:59.999999+00:00
OPT-LONG-81ea66a425bcf308,AMC15SUP-002,O:AMC240927P00005000,PUT,5.0,2024-09-27,14,0.0,DISCOVERY,CONTINUATION,2024-09-10T19:30:00+00:00,2024-09-10T19:45:00+00:00,2024-09-10T19:45:00+00:00,0.37,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-27T23:59:59.999999+00:00
OPT-LONG-0fef1e17453ee367,AMC15SUP-003,O:AMC241018C00004500,CALL,4.5,2024-10-18,14,0.0,DISCOVERY,ENTRY_FORMING,2024-10-04T13:30:00+00:00,2024-10-04T13:45:00+00:00,2024-10-04T13:45:00+00:00,0.24,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-10-18T23:59:59.999999+00:00
OPT-LONG-e3fb24d5e30e99e4,AMC15SUP-003,O:AMC241101C00004500,CALL,4.5,2024-11-01,30,0.0,DISCOVERY,ENTRY_FORMING,2024-10-04T13:30:00+00:00,2024-10-04T13:45:00+00:00,2024-10-04T13:45:00+00:00,0.38,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-10-25T13:45:00+00:00
OPT-LONG-f036466fcf136cbc,AMC15SUP-003,O:AMC241018P00004500,PUT,4.5,2024-10-18,14,0.0,DISCOVERY,ENTRY_FORMING,2024-10-04T13:30:00+00:00,2024-10-04T13:45:00+00:00,2024-10-04T13:45:00+00:00,0.23,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-10-18T23:59:59.999999+00:00
OPT-LONG-aba3ccefd6034431,AMC15SUP-004,O:AMC241101C00004500,CALL,4.5,2024-11-01,14,0.0,DISCOVERY,CONTINUATION,2024-10-18T16:00:00+00:00,2024-10-18T16:15:00+00:00,2024-10-18T16:15:00+00:00,0.15,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-11-01T23:59:59.999999+00:00
