signal_bar_open_utc,decision_available_utc,session_date,spot,event_family,events,campaign_health,phase_confidence,weakness_count,partition,anchor_id
2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23,5.0229,CONTINUATION,RELOAD,76.0,52.0,0.0,DISCOVERY,AMC15-001
2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00,2024-08-26,5.1701,RISK_OR_EXHAUSTION,MANAGE,95.0,75.0,0.0,DISCOVERY,AMC15-002
2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30,4.89,ENTRY_FORMING,STRONG START,82.0,54.0,0.0,DISCOVERY,AMC15-003
2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,2024-09-03,4.8018,THESIS_PRESSURE,FAIL TEST,3.0,0.0,9.0,DISCOVERY,AMC15-004
2026-01-09T17:45:00+00:00,2026-01-09T18:00:00+00:00,2026-01-09,1.645,RISK_OR_EXHAUSTION,MANAGE,83.0,56.0,0.0,DISCOVERY,AMC15-005
2026-01-22T14:30:00+00:00,2026-01-22T14:45:00+00:00,2026-01-22,1.62,ENTRY_FORMING,STRONG START,88.0,62.0,0.0,DISCOVERY,AMC15-006
2026-01-22T16:45:00+00:00,2026-01-22T17:00:00+00:00,2026-01-22,1.669,CONTINUATION,ADD,97.0,74.0,0.0,DISCOVERY,AMC15-007
2026-01-23T17:30:00+00:00,2026-01-23T17:45:00+00:00,2026-01-23,1.59,THESIS_PRESSURE,FAIL (any severity),1.0,0.0,11.0,DISCOVERY,AMC15-008
2026-02-06T14:45:00+00:00,2026-02-06T15:00:00+00:00,2026-02-06,1.4399,ENTRY_FORMING,STRONG START,81.0,53.0,0.0,HOLDOUT,AMC15-009
2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,2026-02-06,1.4765,CONTINUATION,ADD,92.0,64.0,0.0,HOLDOUT,AMC15-010
2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00,2026-02-09,1.375,THESIS_PRESSURE,FAIL TEST,28.0,11.0,4.0,HOLDOUT,AMC15-011
2026-03-30T16:30:00+00:00,2026-03-30T16:45:00+00:00,2026-03-30,1.055,RISK_OR_EXHAUSTION,MANAGE,86.0,55.0,0.0,HOLDOUT,AMC15-012
2026-07-28T19:00:00+00:00,2026-07-28T19:15:00+00:00,2026-07-28,2.7339,RISK_OR_EXHAUSTION,MANAGE|PEAK,99.0,89.0,0.0,HOLDOUT,AMC15-013
2026-08-07T19:45:00+00:00,2026-08-07T20:00:00+00:00,2026-08-07,2.58,ENTRY_FORMING,STRONG START,80.0,55.0,0.0,HOLDOUT,AMC15-014
2026-08-11T13:45:00+00:00,2026-08-11T14:00:00+00:00,2026-08-11,2.4672,CONTINUATION,RELOAD,19.0,28.0,0.0,HOLDOUT,AMC15-015
2026-08-11T17:00:00+00:00,2026-08-11T17:15:00+00:00,2026-08-11,2.42,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,HOLDOUT,AMC15-016
