partition,event_family,contract_type,dte_target,anchors,contracts,ready,matched_bars_min,matched_bars_max,censored
DISCOVERY,CONTINUATION,CALL,14,1,1,1,109,109,1
DISCOVERY,CONTINUATION,CALL,30,1,1,1,133,133,1
DISCOVERY,CONTINUATION,PUT,14,1,1,0,69,69,0
DISCOVERY,CONTINUATION,PUT,30,1,1,0,78,78,0
DISCOVERY,ENTRY_FORMING,CALL,14,1,1,1,117,117,1
DISCOVERY,ENTRY_FORMING,CALL,30,1,1,1,148,148,1
DISCOVERY,ENTRY_FORMING,PUT,14,1,1,0,89,89,0
DISCOVERY,ENTRY_FORMING,PUT,30,1,1,0,97,97,0
DISCOVERY,RISK_OR_EXHAUSTION,CALL,14,1,1,1,129,129,1
DISCOVERY,RISK_OR_EXHAUSTION,CALL,30,1,1,1,67,67,1
DISCOVERY,RISK_OR_EXHAUSTION,PUT,14,1,1,1,86,86,1
DISCOVERY,RISK_OR_EXHAUSTION,PUT,30,1,1,1,45,45,1
DISCOVERY,THESIS_PRESSURE,CALL,14,2,2,2,77,276,2
DISCOVERY,THESIS_PRESSURE,CALL,30,2,2,2,59,90,2
DISCOVERY,THESIS_PRESSURE,PUT,14,2,2,2,53,170,2
DISCOVERY,THESIS_PRESSURE,PUT,30,2,2,2,35,53,2
HOLDOUT,CONTINUATION,CALL,14,2,2,2,31,335,2
HOLDOUT,CONTINUATION,CALL,30,2,2,2,22,82,2
HOLDOUT,CONTINUATION,PUT,14,2,2,1,17,189,1
HOLDOUT,CONTINUATION,PUT,30,2,2,0,7,27,0
HOLDOUT,ENTRY_FORMING,CALL,14,2,2,2,152,325,2
HOLDOUT,ENTRY_FORMING,CALL,30,2,2,2,13,75,2
HOLDOUT,ENTRY_FORMING,PUT,14,2,2,2,151,181,2
HOLDOUT,ENTRY_FORMING,PUT,30,2,2,0,5,26,0
HOLDOUT,RISK_OR_EXHAUSTION,CALL,14,1,1,1,102,102,1
HOLDOUT,RISK_OR_EXHAUSTION,CALL,30,1,1,1,64,64,1
HOLDOUT,RISK_OR_EXHAUSTION,PUT,14,1,1,1,51,51,1
HOLDOUT,RISK_OR_EXHAUSTION,PUT,30,1,1,1,24,24,1
HOLDOUT,THESIS_PRESSURE,CALL,14,1,1,1,39,39,1
HOLDOUT,THESIS_PRESSURE,CALL,30,1,1,0,26,26,0
HOLDOUT,THESIS_PRESSURE,PUT,14,1,1,1,19,19,1
HOLDOUT,THESIS_PRESSURE,PUT,30,1,1,0,9,9,0
