anchor_id,ticker,contract_type,strike,expiration,dte_target,moneyness_target,partition,event_family,decision_available_utc,signal_bar_open_utc,coverage_before,coverage_at,coverage_after,left_censored,signal_bar_exists,bar_count,moneyness_pct,dte,outcome_status,right_censored,observed_bars,decision_close,next_bar_open,decision_to_next_open_gap_pct,mfe_pct,mae_pct,terminal_return_pct,bars_to_peak,bars_to_trough,peak_to_terminal_giveback_pct,gain_retention,decision_close_mfe_pct,decision_close_mae_pct,peak_before_trough
AMC15-001,O:AMC240906C00005000,CALL,5.0,2024-09-06,14,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,108,1,248,False,True,357,0.4579999999999984,14,SCORED_RIGHT_CENSORED,True,248,0.22,0.21,-4.545454545454552,76.19047619047619,-95.23809523809523,-95.23809523809523,20,225,-97.2972972972973,-1.2499999999999998,68.18181818181819,-95.45454545454545,True
AMC15-001,O:AMC240920C00005000,CALL,5.0,2024-09-20,30,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,132,1,374,False,True,507,0.4579999999999984,28,SCORED_RIGHT_CENSORED,True,374,0.31,0.32,3.2258064516129004,53.125,-65.625,-59.375,19,374,-73.46938775510203,-1.1176470588235294,58.06451612903225,-64.51612903225806,True
AMC15-001,O:AMC240906P00005000,PUT,5.0,2024-09-06,14,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,69,0,232,False,False,301,-0.4579999999999984,14,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-001,O:AMC240920P00005000,PUT,5.0,2024-09-20,30,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,78,0,280,False,False,358,-0.4579999999999984,28,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-002,O:AMC240906C00005000,CALL,5.0,2024-09-06,14,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,128,1,228,False,True,357,3.401999999999994,11,SCORED_RIGHT_CENSORED,True,228,0.33,0.32,-3.0303030303030276,12.5,-96.875,-96.875,1,205,-97.22222222222221,-7.75,9.090909090909083,-96.96969696969697,True
AMC15-002,O:AMC240927C00005000,CALL,5.0,2024-09-27,30,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,66,1,322,False,True,389,3.401999999999994,32,SCORED_RIGHT_CENSORED,True,322,0.48,0.51,6.25,0.0,-70.58823529411764,-68.62745098039215,1,321,-68.62745098039215,,6.25,-68.75,True
AMC15-002,O:AMC240906P00005000,PUT,5.0,2024-09-06,14,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,85,1,215,False,True,301,-3.401999999999994,11,SCORED_RIGHT_CENSORED,True,215,0.12,0.14,16.666666666666675,199.99999999999994,-64.28571428571428,-64.28571428571428,145,215,-88.09523809523809,-0.32142857142857145,250.0,-58.33333333333333,True
AMC15-002,O:AMC240927P00005000,PUT,5.0,2024-09-27,30,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,44,1,190,False,True,235,-3.401999999999994,32,SCORED_RIGHT_CENSORED,True,190,0.29,0.28,-3.44827586206895,114.28571428571428,-17.85714285714286,0.0,72,184,-53.33333333333332,0.0,106.89655172413795,-20.68965517241378,True
AMC15-003,O:AMC240913C00005000,CALL,5.0,2024-09-13,14,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:15:00+00:00,2024-08-30T18:00:00+00:00,116,1,241,False,True,358,-2.2000000000000064,14,SCORED_RIGHT_CENSORED,True,241,0.22,0.21,-4.545454545454552,28.57142857142858,-95.23809523809523,-95.23809523809523,101,225,-96.2962962962963,-3.3333333333333317,22.72727272727273,-95.45454545454545,True
AMC15-003,O:AMC240927C00005000,CALL,5.0,2024-09-27,30,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:15:00+00:00,2024-08-30T18:00:00+00:00,147,1,241,False,True,389,-2.2000000000000064,28,SCORED_RIGHT_CENSORED,True,241,0.33,0.32,-3.0303030303030276,31.25,-53.125,-50.0,101,240,-61.904761904761905,-1.6,27.27272727272727,-54.54545454545454,True
AMC15-003,O:AMC240913P00005000,PUT,5.0,2024-09-13,14,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:15:00+00:00,2024-08-30T18:00:00+00:00,89,0,223,False,False,312,2.2000000000000064,14,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-003,O:AMC240927P00005000,PUT,5.0,2024-09-27,30,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:15:00+00:00,2024-08-30T18:00:00+00:00,97,0,138,False,False,235,2.2000000000000064,28,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-004,O:AMC240920C00005000,CALL,5.0,2024-09-20,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-09-03T14:00:00+00:00,2024-09-03T13:45:00+00:00,275,1,231,False,True,507,-3.9639999999999986,17,SCORED_RIGHT_CENSORED,True,231,0.23,0.23,0.0,52.17391304347825,-52.17391304347827,-43.47826086956522,86,231,-62.857142857142854,-0.8333333333333335,52.17391304347825,-52.17391304347827,True
AMC15-004,O:AMC241004C00005000,CALL,5.0,2024-10-04,30,0.0,DISCOVERY,THESIS_PRESSURE,2024-09-03T14:00:00+00:00,2024-09-03T13:45:00+00:00,58,1,332,False,True,391,-3.9639999999999986,31,SCORED_RIGHT_CENSORED,True,332,0.33,0.31,-6.060606060606066,58.06451612903225,-70.96774193548387,-67.74193548387096,83,330,-79.59183673469387,-1.1666666666666667,48.484848484848484,-72.72727272727273,True
AMC15-004,O:AMC240920P00005000,PUT,5.0,2024-09-20,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-09-03T14:00:00+00:00,2024-09-03T13:45:00+00:00,169,1,188,False,True,358,3.9639999999999986,17,SCORED_RIGHT_CENSORED,True,188,0.41,0.42,2.4390243902439046,30.952380952380977,-59.52380952380951,-57.14285714285714,18,163,-67.27272727272728,-1.8461538461538445,34.14634146341464,-58.536585365853654,True
AMC15-004,O:AMC241004P00005000,PUT,5.0,2024-10-04,30,0.0,DISCOVERY,THESIS_PRESSURE,2024-09-03T14:00:00+00:00,2024-09-03T13:45:00+00:00,34,1,158,False,True,193,3.9639999999999986,31,SCORED_RIGHT_CENSORED,True,158,0.49,0.52,6.1224489795918435,15.384615384615374,-40.38461538461539,5.769230769230771,6,60,-8.333333333333325,0.3750000000000004,22.44897959183674,-36.73469387755102,True
AMC15-008,O:AMC260206C00001500,CALL,1.5,2026-02-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2026-01-23T17:45:00+00:00,2026-01-23T17:30:00+00:00,76,1,267,False,True,344,6.000000000000005,14,SCORED_RIGHT_CENSORED,True,267,0.16,0.16,0.0,25.0,-93.75,-93.75,12,39,-95.0,-3.75,25.0,-93.75,True
AMC15-008,O:AMC260220C00001500,CALL,1.5,2026-02-20,30,0.0,DISCOVERY,THESIS_PRESSURE,2026-01-23T17:45:00+00:00,2026-01-23T17:30:00+00:00,89,1,387,False,True,477,6.000000000000005,28,SCORED_RIGHT_CENSORED,True,387,0.2,0.21,4.999999999999982,19.047619047619047,-95.23809523809523,-90.47619047619048,13,357,-92.0,-4.75,25.0,-95.0,True
AMC15-008,O:AMC260206P00001500,PUT,1.5,2026-02-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2026-01-23T17:45:00+00:00,2026-01-23T17:30:00+00:00,52,1,227,False,True,280,-6.000000000000005,14,SCORED_RIGHT_CENSORED,True,227,0.06,0.07,16.666666666666675,157.1428571428571,-85.71428571428572,-71.42857142857143,85,222,-88.88888888888889,-0.45454545454545464,200.0,-83.33333333333333,True
AMC15-008,O:AMC260220P00001500,PUT,1.5,2026-02-20,30,0.0,DISCOVERY,THESIS_PRESSURE,2026-01-23T17:45:00+00:00,2026-01-23T17:30:00+00:00,52,1,225,False,True,278,-6.000000000000005,28,SCORED_RIGHT_CENSORED,True,225,0.1,0.11,9.999999999999986,190.9090909090909,-18.181818181818187,154.5454545454546,205,142,-12.49999999999999,0.8095238095238098,219.99999999999997,-10.000000000000009,False
AMC15-009,O:AMC260220C00001500,CALL,1.5,2026-02-20,14,0.0,HOLDOUT,ENTRY_FORMING,2026-02-06T15:00:00+00:00,2026-02-06T14:45:00+00:00,324,1,152,False,True,477,-4.0066666666666695,14,SCORED_RIGHT_CENSORED,True,152,0.08,0.08,0.0,25.0,-87.5,-75.0,12,122,-80.0,-3.0,25.0,-87.5,True
AMC15-009,O:AMC260306C00001500,CALL,1.5,2026-03-06,30,0.0,HOLDOUT,ENTRY_FORMING,2026-02-06T15:00:00+00:00,2026-02-06T14:45:00+00:00,74,1,310,False,True,385,-4.0066666666666695,28,SCORED_RIGHT_CENSORED,True,310,0.19,0.17,-10.526315789473683,23.529411764705866,-94.11764705882352,-94.11764705882352,3,242,-95.23809523809523,-4.000000000000003,10.526315789473673,-94.73684210526316,True
AMC15-009,O:AMC260220P00001500,PUT,1.5,2026-02-20,14,0.0,HOLDOUT,ENTRY_FORMING,2026-02-06T15:00:00+00:00,2026-02-06T14:45:00+00:00,180,1,97,False,True,278,4.0066666666666695,14,SCORED_RIGHT_CENSORED,True,97,0.13,0.12,-7.692307692307699,166.66666666666669,-25.0,133.33333333333334,77,14,-12.49999999999999,0.7999999999999999,146.15384615384616,-30.76923076923077,False
AMC15-009,O:AMC260306P00001500,PUT,1.5,2026-03-06,30,0.0,HOLDOUT,ENTRY_FORMING,2026-02-06T15:00:00+00:00,2026-02-06T14:45:00+00:00,26,0,90,False,False,116,4.0066666666666695,28,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-010,O:AMC260220C00001500,CALL,1.5,2026-02-20,14,0.0,HOLDOUT,CONTINUATION,2026-02-06T17:30:00+00:00,2026-02-06T17:15:00+00:00,334,1,142,False,True,477,-1.5666666666666718,14,SCORED_RIGHT_CENSORED,True,142,0.09,0.09,0.0,11.111111111111116,-88.88888888888889,-77.77777777777779,2,112,-80.0,-6.999999999999997,11.111111111111116,-88.88888888888889,True
AMC15-010,O:AMC260306C00001500,CALL,1.5,2026-03-06,30,0.0,HOLDOUT,CONTINUATION,2026-02-06T17:30:00+00:00,2026-02-06T17:15:00+00:00,81,1,303,False,True,385,-1.5666666666666718,28,SCORED_RIGHT_CENSORED,True,303,0.2,0.19,-5.000000000000004,5.263157894736836,-94.73684210526316,-94.73684210526316,2,235,-95.0,-18.00000000000002,0.0,-95.0,True
AMC15-010,O:AMC260220P00001500,PUT,1.5,2026-02-20,14,0.0,HOLDOUT,CONTINUATION,2026-02-06T17:30:00+00:00,2026-02-06T17:15:00+00:00,188,1,89,False,True,278,1.5666666666666718,14,SCORED_RIGHT_CENSORED,True,89,0.12,0.12,0.0,166.66666666666669,-25.0,133.33333333333334,69,6,-12.49999999999999,0.7999999999999999,166.66666666666669,-25.0,False
AMC15-010,O:AMC260306P00001500,PUT,1.5,2026-03-06,30,0.0,HOLDOUT,CONTINUATION,2026-02-06T17:30:00+00:00,2026-02-06T17:15:00+00:00,27,0,89,False,False,116,1.5666666666666718,28,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-012,O:AMC260410C00001000,CALL,1.0,2026-04-10,14,0.0,HOLDOUT,RISK_OR_EXHAUSTION,2026-03-30T16:45:00+00:00,2026-03-30T16:30:00+00:00,101,1,210,False,True,312,5.499999999999994,11,SCORED_RIGHT_CENSORED,True,210,0.1,0.11,9.999999999999986,300.0,-63.63636363636363,218.18181818181816,186,48,-20.45454545454546,0.7272727272727272,339.99999999999994,-60.00000000000001,False
AMC15-012,O:AMC260501C00001000,CALL,1.0,2026-05-01,30,0.0,HOLDOUT,RISK_OR_EXHAUSTION,2026-03-30T16:45:00+00:00,2026-03-30T16:30:00+00:00,63,1,235,False,True,299,5.499999999999994,32,SCORED_RIGHT_CENSORED,True,235,0.1,0.11,9.999999999999986,745.4545454545455,-27.27272727272727,663.6363636363636,216,30,-9.677419354838722,0.8902439024390243,830.0000000000001,-20.000000000000007,False
AMC15-012,O:AMC260410P00001000,PUT,1.0,2026-04-10,14,0.0,HOLDOUT,RISK_OR_EXHAUSTION,2026-03-30T16:45:00+00:00,2026-03-30T16:30:00+00:00,50,1,122,False,True,173,-5.499999999999994,11,SCORED_RIGHT_CENSORED,True,122,0.05,0.05,0.0,59.999999999999986,-80.0,-80.0,9,55,-87.5,-1.3333333333333337,59.999999999999986,-80.0,True
AMC15-012,O:AMC260501P00001000,PUT,1.0,2026-05-01,30,0.0,HOLDOUT,RISK_OR_EXHAUSTION,2026-03-30T16:45:00+00:00,2026-03-30T16:30:00+00:00,23,1,102,False,True,126,-5.499999999999994,32,SCORED_RIGHT_CENSORED,True,102,0.11,0.09,-18.181818181818187,33.33333333333333,-88.88888888888889,-88.88888888888889,3,33,-91.66666666666666,-2.666666666666667,9.090909090909083,-90.9090909090909,True
AMC15-014,O:AMC260821C00002500,CALL,2.5,2026-08-21,14,0.0,HOLDOUT,ENTRY_FORMING,2026-08-07T20:00:00+00:00,2026-08-07T19:45:00+00:00,151,1,52,False,True,255,3.200000000000003,14,SCORED_RIGHT_CENSORED,True,103,0.22,0.22,0.0,13.636363636363647,-54.54545454545454,-9.090909090909083,81,47,-19.999999999999996,-0.6666666666666655,13.636363636363647,-54.54545454545454,False
AMC15-014,O:AMC260904C00002500,CALL,2.5,2026-09-04,30,0.0,HOLDOUT,ENTRY_FORMING,2026-08-07T20:00:00+00:00,2026-08-07T19:45:00+00:00,12,1,30,False,True,69,3.200000000000003,28,SCORED_RIGHT_CENSORED,True,56,0.31,0.19,-38.70967741935484,110.52631578947367,-15.789473684210531,47.36842105263159,31,28,-29.999999999999993,0.4285714285714287,29.03225806451615,-48.38709677419355,False
