anchor_id,ticker,contract_type,strike,expiration,dte_target,moneyness_target,partition,event_family,decision_available_utc,signal_bar_open_utc,moneyness_pct,dte,H1__status,H1__censor_reason,H1__complete,H1__observed_bars,H1__cutoff_time_ms,H1__mfe_pct,H1__mae_pct,H1__terminal_return_pct,H1__bars_to_peak,H1__bars_to_trough,H1__peak_to_terminal_giveback_pct,H1__gain_retention,H1__decision_close_mfe_pct,H1__decision_close_mae_pct,D1__status,D1__censor_reason,D1__complete,D1__observed_bars,D1__cutoff_time_ms,D1__mfe_pct,D1__mae_pct,D1__terminal_return_pct,D1__bars_to_peak,D1__bars_to_trough,D1__peak_to_terminal_giveback_pct,D1__gain_retention,D1__decision_close_mfe_pct,D1__decision_close_mae_pct,D3__status,D3__censor_reason,D3__complete,D3__observed_bars,D3__cutoff_time_ms,D3__mfe_pct,D3__mae_pct,D3__terminal_return_pct,D3__bars_to_peak,D3__bars_to_trough,D3__peak_to_terminal_giveback_pct,D3__gain_retention,D3__decision_close_mfe_pct,D3__decision_close_mae_pct,D5__status,D5__censor_reason,D5__complete,D5__observed_bars,D5__cutoff_time_ms,D5__mfe_pct,D5__mae_pct,D5__terminal_return_pct,D5__bars_to_peak,D5__bars_to_trough,D5__peak_to_terminal_giveback_pct,D5__gain_retention,D5__decision_close_mfe_pct,D5__decision_close_mae_pct,D10__status,D10__censor_reason,D10__complete,D10__observed_bars,D10__cutoff_time_ms,D10__mfe_pct,D10__mae_pct,D10__terminal_return_pct,D10__bars_to_peak,D10__bars_to_trough,D10__peak_to_terminal_giveback_pct,D10__gain_retention,D10__decision_close_mfe_pct,D10__decision_close_mae_pct
AMC15-001,O:AMC240906C00005000,CALL,5.0,2024-09-06,14,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,0.4579999999999984,14,SCORED_WINDOW,,True,4,1724429700000,9.523809523809534,-9.523809523809524,0.0,4.0,1.0,-8.695652173913048,0.0,4.545454545454541,-13.636363636363635,SCORED_WINDOW,,True,26,1724685300000,76.19047619047619,-9.523809523809524,19.047619047619047,20.0,1.0,-32.432432432432435,0.25,68.18181818181819,-13.636363636363635,SCORED_WINDOW,,True,74,1724858100000,76.19047619047619,-42.85714285714286,-38.095238095238095,20.0,72.0,-64.86486486486487,-0.5,68.18181818181819,-45.45454545454546,SCORED_WINDOW,,True,126,1725030900000,76.19047619047619,-52.38095238095237,-47.61904761904761,20.0,122.0,-70.27027027027026,-0.6249999999999999,68.18181818181819,-54.54545454545454,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,248,1725894900000,,,,,,,,,
AMC15-001,O:AMC240906P00005000,PUT,5.0,2024-09-06,14,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,-0.4579999999999984,14,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1724429700000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1724685300000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1724858100000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1725030900000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,CONTRACT_EXPIRY,False,,1725894900000,,,,,,,,,
AMC15-001,O:AMC240920C00005000,CALL,5.0,2024-09-20,30,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,0.4579999999999984,28,SCORED_WINDOW,,True,4,1724429700000,6.25,-6.25,0.0,4.0,3.0,-5.882352941176472,0.0,9.677419354838722,-3.2258064516129115,SCORED_WINDOW,,True,25,1724685300000,53.125,-6.25,15.625,19.0,3.0,-24.489795918367353,0.29411764705882354,58.06451612903225,-3.2258064516129115,SCORED_WINDOW,,True,73,1724858100000,53.125,-50.0,-15.625,19.0,66.0,-44.897959183673464,-0.29411764705882354,58.06451612903225,-48.38709677419355,SCORED_WINDOW,,True,123,1725030900000,53.125,-50.0,-21.875,19.0,66.0,-48.97959183673469,-0.4117647058823529,58.06451612903225,-48.38709677419355,SCORED_WINDOW,,True,252,1725894900000,53.125,-53.125,-6.25,19.0,225.0,-38.775510204081634,-0.11764705882352941,58.06451612903225,-51.61290322580645
AMC15-001,O:AMC240920P00005000,PUT,5.0,2024-09-20,30,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,-0.4579999999999984,28,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1724429700000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1724685300000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1724858100000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1725030900000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1725894900000,,,,,,,,,
AMC15-002,O:AMC240906C00005000,CALL,5.0,2024-09-06,14,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,3.401999999999994,11,SCORED_WINDOW,,True,4,1724683500000,12.5,-25.0,-6.25,1.0,2.0,-16.666666666666664,-0.5,9.090909090909083,-27.27272727272728,SCORED_WINDOW,,True,26,1724766300000,12.5,-31.25,-31.25,1.0,25.0,-38.888888888888886,-2.5,9.090909090909083,-33.333333333333336,SCORED_WINDOW,,True,74,1724939100000,12.5,-65.625,-62.5,1.0,69.0,-66.66666666666667,-5.0,9.090909090909083,-66.66666666666667,SCORED_WINDOW,,True,126,1725371100000,12.5,-78.125,-75.0,1.0,125.0,-77.77777777777779,-6.0,9.090909090909083,-78.78787878787878,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,228,1725975900000,,,,,,,,,
AMC15-002,O:AMC240906P00005000,PUT,5.0,2024-09-06,14,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,-3.401999999999994,11,SCORED_WINDOW,,True,4,1724683500000,28.57142857142856,-21.42857142857143,7.14285714285714,3.0,1.0,-16.666666666666664,0.25,50.0,-8.333333333333325,SCORED_WINDOW,,True,26,1724766300000,28.57142857142856,-21.42857142857143,21.42857142857142,3.0,1.0,-5.5555555555555465,0.75,50.0,-8.333333333333325,SCORED_WINDOW,,True,72,1724939100000,171.4285714285714,-42.85714285714286,128.57142857142856,70.0,71.0,-15.789473684210531,0.7500000000000001,216.66666666666669,-33.33333333333333,SCORED_WINDOW,,True,120,1725371100000,171.4285714285714,-42.85714285714286,92.85714285714286,70.0,71.0,-28.947368421052634,0.5416666666666669,216.66666666666669,-33.33333333333333,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,215,1725975900000,,,,,,,,,
AMC15-002,O:AMC240927C00005000,CALL,5.0,2024-09-27,30,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,3.401999999999994,32,SCORED_WINDOW,,True,4,1724683500000,0.0,-17.647058823529417,-5.882352941176472,1.0,3.0,-5.882352941176472,,6.25,-12.5,SCORED_WINDOW,,True,13,1724766300000,0.0,-27.450980392156865,-21.568627450980394,1.0,9.0,-21.568627450980394,,6.25,-22.916666666666664,SCORED_WINDOW,,True,47,1724939100000,0.0,-49.01960784313726,-43.13725490196079,1.0,29.0,-43.13725490196079,,6.25,-45.83333333333333,SCORED_WINDOW,,True,89,1725371100000,0.0,-50.98039215686274,-43.13725490196079,1.0,88.0,-43.13725490196079,,6.25,-47.916666666666664,SCORED_WINDOW,,True,203,1725975900000,0.0,-60.7843137254902,-35.29411764705882,1.0,153.0,-35.29411764705882,,6.25,-58.33333333333333
AMC15-002,O:AMC240927P00005000,PUT,5.0,2024-09-27,30,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,-3.401999999999994,32,SCORED_WINDOW,,True,3,1724683500000,10.714285714285698,-7.142857142857151,10.714285714285698,3.0,1.0,0.0,1.0,6.896551724137945,-10.344827586206884,SCORED_WINDOW,,True,13,1724766300000,24.99999999999998,-7.142857142857151,10.714285714285698,10.0,1.0,-11.428571428571422,0.42857142857142827,20.68965517241379,-10.344827586206884,SCORED_WINDOW,,True,40,1724939100000,82.14285714285714,-7.142857142857151,78.57142857142856,37.0,1.0,-1.9607843137254943,0.9565217391304346,75.86206896551727,-10.344827586206884,SCORED_WINDOW,,True,59,1725371100000,82.14285714285714,-7.142857142857151,71.4285714285714,37.0,1.0,-5.882352941176472,0.8695652173913041,75.86206896551727,-10.344827586206884,SCORED_WINDOW,,True,114,1725975900000,114.28571428571428,-7.142857142857151,21.42857142857142,72.0,1.0,-43.33333333333332,0.18749999999999994,106.89655172413795,-10.344827586206884
AMC15-003,O:AMC240913C00005000,CALL,5.0,2024-09-13,14,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:15:00+00:00,2024-08-30T18:00:00+00:00,-2.2000000000000064,14,SCORED_WINDOW,,True,4,1725044400000,4.761904761904767,-23.809523809523803,-9.523809523809524,1.0,3.0,-13.636363636363635,-1.9999999999999978,0.0,-27.27272727272727,SCORED_WINDOW,,True,26,1725386400000,4.761904761904767,-42.85714285714286,-28.57142857142857,1.0,21.0,-31.818181818181824,-5.999999999999993,0.0,-45.45454545454546,SCORED_WINDOW,,True,78,1725559200000,4.761904761904767,-52.38095238095237,-47.61904761904761,1.0,55.0,-50.0,-9.999999999999988,0.0,-54.54545454545454,SCORED_WINDOW,,True,130,1725904800000,28.57142857142858,-61.904761904761905,-23.809523809523803,101.0,90.0,-40.74074074074075,-0.8333333333333328,22.72727272727273,-63.63636363636363,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,241,1726509600000,,,,,,,,,
AMC15-003,O:AMC240913P00005000,PUT,5.0,2024-09-13,14,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:15:00+00:00,2024-08-30T18:00:00+00:00,2.2000000000000064,14,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1725044400000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1725386400000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1725559200000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,,False,,1725904800000,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT,CONTRACT_EXPIRY,False,,1726509600000,,,,,,,,,
