episode_id,entry_anchor_id,ticker,contract_type,strike,expiration,dte_target,moneyness_target,partition,entry_event_family,entry_signal_bar_open_utc,entry_decision_available_utc,entry_execution_bar_open_utc,entry_price,execution_status,research_scope,episode_end_utc
OPT-LONG-d2e1f6900fab6663,AMC15-001,O:AMC240906C00005000,CALL,5.0,2024-09-06,14,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23T15:30:00+00:00,0.21,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-06T23:59:59.999999+00:00
OPT-LONG-f8fe3947e0f3d8ee,AMC15-001,O:AMC240920C00005000,CALL,5.0,2024-09-20,30,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:15:00+00:00,2024-08-23T15:30:00+00:00,2024-08-23T15:30:00+00:00,0.32,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-13T15:30:00+00:00
OPT-LONG-bfff34ac345f0b9b,AMC15-003,O:AMC240913C00005000,CALL,5.0,2024-09-13,14,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30T18:15:00+00:00,0.21,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-13T23:59:59.999999+00:00
OPT-LONG-8a8ba85100356494,AMC15-003,O:AMC240927C00005000,CALL,5.0,2024-09-27,30,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30T18:15:00+00:00,0.32,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-20T18:15:00+00:00
OPT-LONG-736c78fc8c0427a2,AMC15-009,O:AMC260220C00001500,CALL,1.5,2026-02-20,14,0.0,HOLDOUT,ENTRY_FORMING,2026-02-06T14:45:00+00:00,2026-02-06T15:00:00+00:00,2026-02-06T15:00:00+00:00,0.08,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-20T23:59:59.999999+00:00
OPT-LONG-c8fd67a5c31d8351,AMC15-009,O:AMC260306C00001500,CALL,1.5,2026-03-06,30,0.0,HOLDOUT,ENTRY_FORMING,2026-02-06T14:45:00+00:00,2026-02-06T15:00:00+00:00,2026-02-06T15:00:00+00:00,0.17,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-27T15:00:00+00:00
OPT-LONG-337a6d74e073a67f,AMC15-009,O:AMC260220P00001500,PUT,1.5,2026-02-20,14,0.0,HOLDOUT,ENTRY_FORMING,2026-02-06T14:45:00+00:00,2026-02-06T15:00:00+00:00,2026-02-06T15:00:00+00:00,0.12,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-20T23:59:59.999999+00:00
OPT-LONG-3b8a07c5881290bf,AMC15-010,O:AMC260220C00001500,CALL,1.5,2026-02-20,14,0.0,HOLDOUT,CONTINUATION,2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,2026-02-06T17:30:00+00:00,0.09,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-20T23:59:59.999999+00:00
OPT-LONG-803d4b5769c04927,AMC15-010,O:AMC260306C00001500,CALL,1.5,2026-03-06,30,0.0,HOLDOUT,CONTINUATION,2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,2026-02-06T17:30:00+00:00,0.19,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-27T17:30:00+00:00
OPT-LONG-51bcb1f7a3d1ae79,AMC15-010,O:AMC260220P00001500,PUT,1.5,2026-02-20,14,0.0,HOLDOUT,CONTINUATION,2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,2026-02-06T17:30:00+00:00,0.12,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-02-20T23:59:59.999999+00:00
OPT-LONG-48181e79b2fd4500,AMC15-015,O:AMC260828C00002500,CALL,2.5,2026-08-28,14,0.0,HOLDOUT,CONTINUATION,2026-08-11T13:45:00+00:00,2026-08-11T14:00:00+00:00,2026-08-11T14:00:00+00:00,0.2,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2026-08-28T23:59:59.999999+00:00
