snapshot_id,episode_id,entry_anchor_id,ticker,partition,contract_type,dte_target,moneyness_target,snapshot_event_family,snapshot_signal_bar_open_utc,snapshot_decision_available_utc,H1__status,H1__censor_reason,H1__complete,H1__observed_bars,H1__cutoff_time_ms,H1__mfe_pct,H1__mae_pct,H1__terminal_return_pct,H1__bars_to_peak,H1__bars_to_trough,H1__peak_to_terminal_giveback_pct,H1__gain_retention,H1__decision_close_mfe_pct,H1__decision_close_mae_pct,D1__status,D1__censor_reason,D1__complete,D1__observed_bars,D1__cutoff_time_ms,D1__mfe_pct,D1__mae_pct,D1__terminal_return_pct,D1__bars_to_peak,D1__bars_to_trough,D1__peak_to_terminal_giveback_pct,D1__gain_retention,D1__decision_close_mfe_pct,D1__decision_close_mae_pct,D3__status,D3__censor_reason,D3__complete,D3__observed_bars,D3__cutoff_time_ms,D3__mfe_pct,D3__mae_pct,D3__terminal_return_pct,D3__bars_to_peak,D3__bars_to_trough,D3__peak_to_terminal_giveback_pct,D3__gain_retention,D3__decision_close_mfe_pct,D3__decision_close_mae_pct,D5__status,D5__censor_reason,D5__complete,D5__observed_bars,D5__cutoff_time_ms,D5__mfe_pct,D5__mae_pct,D5__terminal_return_pct,D5__bars_to_peak,D5__bars_to_trough,D5__peak_to_terminal_giveback_pct,D5__gain_retention,D5__decision_close_mfe_pct,D5__decision_close_mae_pct,D10__status,D10__censor_reason,D10__complete,D10__observed_bars,D10__cutoff_time_ms,D10__mfe_pct,D10__mae_pct,D10__terminal_return_pct,D10__bars_to_peak,D10__bars_to_trough,D10__peak_to_terminal_giveback_pct,D10__gain_retention,D10__decision_close_mfe_pct,D10__decision_close_mae_pct
OPT-LONG-337a6d74e073a67f:1770398100000,OPT-LONG-337a6d74e073a67f,AMC15-009,O:AMC260220P00001500,HOLDOUT,PUT,14,0.0,CONTINUATION,2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,SCORED_WINDOW,,True,2,1770401700000,0.0,-16.666666666666664,-8.333333333333325,1.0,1.0,-8.333333333333325,,0.0,-16.666666666666664,SCORED_WINDOW,,True,15,1770657300000,83.33333333333334,-25.0,41.66666666666667,9.0,6.0,-22.72727272727272,0.5,83.33333333333334,-25.0,SCORED_WINDOW,,True,45,1770830100000,100.0,-25.0,91.66666666666667,37.0,6.0,-4.1666666666666625,0.9166666666666667,100.0,-25.0,SCORED_WINDOW,,True,81,1771002900000,166.66666666666669,-25.0,100.0,69.0,6.0,-25.0,0.6,166.66666666666669,-25.0,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,89,1771866900000,,,,,,,,,
OPT-LONG-337a6d74e073a67f:1770650100000,OPT-LONG-337a6d74e073a67f,AMC15-009,O:AMC260220P00001500,HOLDOUT,PUT,14,0.0,THESIS_PRESSURE,2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00,SCORED_WINDOW,,True,2,1770653700000,0.0,-5.5555555555555465,0.0,1.0,2.0,0.0,,0.0,-5.5555555555555465,SCORED_WINDOW,,True,17,1770736500000,16.666666666666675,-11.111111111111105,11.111111111111116,15.0,3.0,-4.761904761904756,0.6666666666666666,16.666666666666675,-11.111111111111105,SCORED_WINDOW,,True,44,1770909300000,44.444444444444464,-11.111111111111105,44.444444444444464,42.0,3.0,0.0,1.0,44.444444444444464,-11.111111111111105,SCORED_WINDOW,,True,78,1771341300000,77.77777777777779,-11.111111111111105,55.55555555555558,58.0,3.0,-12.49999999999999,0.7142857142857145,77.77777777777779,-11.111111111111105,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,78,1771946100000,,,,,,,,,
OPT-LONG-337a6d74e073a67f:1770820200000,OPT-LONG-337a6d74e073a67f,AMC15-009,O:AMC260220P00001500,HOLDOUT,PUT,14,0.0,THESIS_PRESSURE,2026-02-11T14:30:00+00:00,2026-02-11T14:45:00+00:00,SCORED_WINDOW,,True,4,1770823800000,14.28571428571428,0.0,0.0,1.0,1.0,-12.5,0.0,14.28571428571428,0.0,SCORED_WINDOW,,True,17,1770906600000,23.809523809523814,0.0,9.523809523809534,17.0,1.0,-11.538461538461542,0.40000000000000036,23.809523809523814,0.0,SCORED_WINDOW,,True,53,1771338600000,52.380952380952394,-4.761904761904756,33.33333333333335,33.0,39.0,-12.49999999999999,0.6363636363636366,52.380952380952394,-4.761904761904756,SCORED_WINDOW,,True,53,1771511400000,52.380952380952394,-4.761904761904756,33.33333333333335,33.0,39.0,-12.49999999999999,0.6363636363636366,52.380952380952394,-4.761904761904756,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,53,1772116200000,,,,,,,,,
OPT-LONG-337a6d74e073a67f:1770821100000,OPT-LONG-337a6d74e073a67f,AMC15-009,O:AMC260220P00001500,HOLDOUT,PUT,14,0.0,THESIS_PRESSURE,2026-02-11T14:45:00+00:00,2026-02-11T15:00:00+00:00,SCORED_WINDOW,,True,3,1770824700000,4.347826086956519,-8.695652173913048,-8.695652173913048,1.0,3.0,-12.5,-2.0000000000000027,9.090909090909083,-4.545454545454552,SCORED_WINDOW,,True,17,1770907500000,13.043478260869556,-8.695652173913048,8.695652173913038,16.0,3.0,-3.8461538461538547,0.6666666666666667,18.181818181818187,-4.545454545454552,SCORED_WINDOW,,True,52,1771339500000,39.13043478260869,-13.043478260869568,21.739130434782616,32.0,38.0,-12.49999999999999,0.5555555555555559,45.45454545454546,-9.090909090909083,SCORED_WINDOW,,True,52,1771512300000,39.13043478260869,-13.043478260869568,21.739130434782616,32.0,38.0,-12.49999999999999,0.5555555555555559,45.45454545454546,-9.090909090909083,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,52,1772117100000,,,,,,,,,
OPT-LONG-3b8a07c5881290bf:1770650100000,OPT-LONG-3b8a07c5881290bf,AMC15-010,O:AMC260220C00001500,HOLDOUT,CALL,14,0.0,THESIS_PRESSURE,2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00,SCORED_WINDOW,,True,4,1770653700000,0.0,-20.000000000000007,0.0,1.0,1.0,0.0,,0.0,-20.000000000000007,SCORED_WINDOW,,True,26,1770736500000,0.0,-40.0,-40.0,1.0,23.0,-40.0,,0.0,-40.0,SCORED_WINDOW,,True,77,1770909300000,19.999999999999996,-60.00000000000001,-60.00000000000001,28.0,48.0,-66.66666666666666,-3.000000000000001,19.999999999999996,-60.00000000000001,SCORED_WINDOW,,True,124,1771341300000,19.999999999999996,-80.0,-60.00000000000001,28.0,94.0,-66.66666666666666,-3.000000000000001,19.999999999999996,-80.0,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,124,1771946100000,,,,,,,,,
OPT-LONG-3b8a07c5881290bf:1770654600000,OPT-LONG-3b8a07c5881290bf,AMC15-010,O:AMC260220C00001500,HOLDOUT,CALL,14,0.0,THESIS_PRESSURE,2026-02-09T16:30:00+00:00,2026-02-09T16:45:00+00:00,SCORED_WINDOW,,True,4,1770658200000,0.0,-20.000000000000007,0.0,1.0,3.0,0.0,,0.0,-20.000000000000007,SCORED_WINDOW,,True,26,1770741000000,19.999999999999996,-40.0,-20.000000000000007,23.0,18.0,-33.33333333333333,-1.0000000000000004,19.999999999999996,-40.0,SCORED_WINDOW,,True,76,1770913800000,19.999999999999996,-60.00000000000001,-40.0,23.0,43.0,-50.0,-2.0000000000000004,19.999999999999996,-60.00000000000001,SCORED_WINDOW,,True,119,1771345800000,19.999999999999996,-80.0,-60.00000000000001,23.0,89.0,-66.66666666666666,-3.000000000000001,19.999999999999996,-80.0,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,119,1771950600000,,,,,,,,,
OPT-LONG-3b8a07c5881290bf:1770741000000,OPT-LONG-3b8a07c5881290bf,AMC15-010,O:AMC260220C00001500,HOLDOUT,CALL,14,0.0,ENTRY_FORMING,2026-02-10T16:30:00+00:00,2026-02-10T16:45:00+00:00,SCORED_WINDOW,,True,4,1770744600000,25.0,0.0,0.0,1.0,1.0,-20.000000000000007,0.0,25.0,0.0,SCORED_WINDOW,,True,25,1770827400000,25.0,-50.0,-25.0,1.0,17.0,-40.0,-1.0,25.0,-50.0,SCORED_WINDOW,,True,76,1771000200000,25.0,-75.0,-25.0,1.0,63.0,-40.0,-1.0,25.0,-75.0,SCORED_WINDOW,,True,93,1771432200000,25.0,-75.0,-50.0,1.0,63.0,-60.00000000000001,-2.0,25.0,-75.0,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,93,1772037000000,,,,,,,,,
OPT-LONG-3b8a07c5881290bf:1770749100000,OPT-LONG-3b8a07c5881290bf,AMC15-010,O:AMC260220C00001500,HOLDOUT,CALL,14,0.0,THESIS_PRESSURE,2026-02-10T18:45:00+00:00,2026-02-10T19:00:00+00:00,SCORED_WINDOW,,True,3,1770752700000,0.0,-25.0,-25.0,1.0,3.0,-25.0,,0.0,-25.0,SCORED_WINDOW,,True,25,1770835500000,25.0,-50.0,-50.0,8.0,8.0,-60.00000000000001,-2.0,25.0,-50.0,SCORED_WINDOW,,True,76,1771008300000,25.0,-75.0,-25.0,8.0,54.0,-40.0,-1.0,25.0,-75.0,SCORED_WINDOW,,True,84,1771440300000,25.0,-75.0,-50.0,8.0,54.0,-60.00000000000001,-2.0,25.0,-75.0,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,84,1772045100000,,,,,,,,,
OPT-LONG-3b8a07c5881290bf:1770820200000,OPT-LONG-3b8a07c5881290bf,AMC15-010,O:AMC260220C00001500,HOLDOUT,CALL,14,0.0,THESIS_PRESSURE,2026-02-11T14:30:00+00:00,2026-02-11T14:45:00+00:00,SCORED_WINDOW,,True,4,1770823800000,0.0,-33.33333333333333,-33.33333333333333,1.0,1.0,-33.33333333333333,,0.0,-33.33333333333333,SCORED_WINDOW,,True,26,1770906600000,0.0,-33.33333333333333,0.0,1.0,1.0,0.0,,0.0,-33.33333333333333,SCORED_WINDOW,,True,76,1771338600000,33.33333333333335,-66.66666666666666,-33.33333333333333,70.0,46.0,-50.0,-0.9999999999999993,33.33333333333335,-66.66666666666666,SCORED_WINDOW,,True,76,1771511400000,33.33333333333335,-66.66666666666666,-33.33333333333333,70.0,46.0,-50.0,-0.9999999999999993,33.33333333333335,-66.66666666666666,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,76,1772116200000,,,,,,,,,
OPT-LONG-3b8a07c5881290bf:1770821100000,OPT-LONG-3b8a07c5881290bf,AMC15-010,O:AMC260220C00001500,HOLDOUT,CALL,14,0.0,THESIS_PRESSURE,2026-02-11T14:45:00+00:00,2026-02-11T15:00:00+00:00,SCORED_WINDOW,,True,4,1770824700000,50.0,0.0,50.0,1.0,1.0,0.0,1.0,50.0,0.0,SCORED_WINDOW,,True,26,1770907500000,50.0,0.0,50.0,1.0,1.0,0.0,1.0,50.0,0.0,SCORED_WINDOW,,True,75,1771339500000,100.0,-50.0,0.0,69.0,45.0,-50.0,0.0,100.0,-50.0,SCORED_WINDOW,,True,75,1771512300000,100.0,-50.0,0.0,69.0,45.0,-50.0,0.0,100.0,-50.0,SCORED_RIGHT_CENSORED,CONTRACT_EXPIRY,False,75,1772117100000,,,,,,,,,
