anchor_id,partition,event_family,signal_bar_open_utc,decision_available_utc
OPT-LONG-d2e1f6900fab6663:1724679900000,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00
OPT-LONG-d2e1f6900fab6663:1725040800000,DISCOVERY,ENTRY_FORMING,2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00
OPT-LONG-d2e1f6900fab6663:1725371100000,DISCOVERY,THESIS_PRESSURE,2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00
OPT-LONG-d2e1f6900fab6663:1725375600000,DISCOVERY,THESIS_PRESSURE,2024-09-03T15:00:00+00:00,2024-09-03T15:15:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1724679900000,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T13:45:00+00:00,2024-08-26T14:00:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1725040800000,DISCOVERY,ENTRY_FORMING,2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1725371100000,DISCOVERY,THESIS_PRESSURE,2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1725375600000,DISCOVERY,THESIS_PRESSURE,2024-09-03T15:00:00+00:00,2024-09-03T15:15:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1725911100000,DISCOVERY,ENTRY_FORMING,2024-09-09T19:45:00+00:00,2024-09-09T20:00:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1725984900000,DISCOVERY,THESIS_PRESSURE,2024-09-10T16:15:00+00:00,2024-09-10T16:30:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1725988500000,DISCOVERY,THESIS_PRESSURE,2024-09-10T17:15:00+00:00,2024-09-10T17:30:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1725996600000,DISCOVERY,CONTINUATION,2024-09-10T19:30:00+00:00,2024-09-10T19:45:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1726067700000,DISCOVERY,THESIS_PRESSURE,2024-09-11T15:15:00+00:00,2024-09-11T15:30:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1726072200000,DISCOVERY,THESIS_PRESSURE,2024-09-11T16:30:00+00:00,2024-09-11T16:45:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1726074000000,DISCOVERY,CONTINUATION,2024-09-11T17:00:00+00:00,2024-09-11T17:15:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1726083000000,DISCOVERY,THESIS_PRESSURE,2024-09-11T19:30:00+00:00,2024-09-11T19:45:00+00:00
OPT-LONG-f8fe3947e0f3d8ee:1726237800000,DISCOVERY,CONTINUATION,2024-09-13T14:30:00+00:00,2024-09-13T14:45:00+00:00
OPT-LONG-bfff34ac345f0b9b:1725371100000,DISCOVERY,THESIS_PRESSURE,2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00
OPT-LONG-bfff34ac345f0b9b:1725375600000,DISCOVERY,THESIS_PRESSURE,2024-09-03T15:00:00+00:00,2024-09-03T15:15:00+00:00
OPT-LONG-bfff34ac345f0b9b:1725911100000,DISCOVERY,ENTRY_FORMING,2024-09-09T19:45:00+00:00,2024-09-09T20:00:00+00:00
OPT-LONG-bfff34ac345f0b9b:1725984900000,DISCOVERY,THESIS_PRESSURE,2024-09-10T16:15:00+00:00,2024-09-10T16:30:00+00:00
OPT-LONG-bfff34ac345f0b9b:1725988500000,DISCOVERY,THESIS_PRESSURE,2024-09-10T17:15:00+00:00,2024-09-10T17:30:00+00:00
OPT-LONG-bfff34ac345f0b9b:1725996600000,DISCOVERY,CONTINUATION,2024-09-10T19:30:00+00:00,2024-09-10T19:45:00+00:00
OPT-LONG-bfff34ac345f0b9b:1726067700000,DISCOVERY,THESIS_PRESSURE,2024-09-11T15:15:00+00:00,2024-09-11T15:30:00+00:00
OPT-LONG-bfff34ac345f0b9b:1726072200000,DISCOVERY,THESIS_PRESSURE,2024-09-11T16:30:00+00:00,2024-09-11T16:45:00+00:00
OPT-LONG-bfff34ac345f0b9b:1726074000000,DISCOVERY,CONTINUATION,2024-09-11T17:00:00+00:00,2024-09-11T17:15:00+00:00
OPT-LONG-bfff34ac345f0b9b:1726083000000,DISCOVERY,THESIS_PRESSURE,2024-09-11T19:30:00+00:00,2024-09-11T19:45:00+00:00
OPT-LONG-bfff34ac345f0b9b:1726237800000,DISCOVERY,CONTINUATION,2024-09-13T14:30:00+00:00,2024-09-13T14:45:00+00:00
OPT-LONG-bfff34ac345f0b9b:1726246800000,DISCOVERY,THESIS_PRESSURE,2024-09-13T17:00:00+00:00,2024-09-13T17:15:00+00:00
OPT-LONG-bfff34ac345f0b9b:1726254900000,DISCOVERY,THESIS_PRESSURE,2024-09-13T19:15:00+00:00,2024-09-13T19:30:00+00:00
OPT-LONG-8a8ba85100356494:1725371100000,DISCOVERY,THESIS_PRESSURE,2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00
OPT-LONG-8a8ba85100356494:1725375600000,DISCOVERY,THESIS_PRESSURE,2024-09-03T15:00:00+00:00,2024-09-03T15:15:00+00:00
OPT-LONG-8a8ba85100356494:1725911100000,DISCOVERY,ENTRY_FORMING,2024-09-09T19:45:00+00:00,2024-09-09T20:00:00+00:00
OPT-LONG-8a8ba85100356494:1725984900000,DISCOVERY,THESIS_PRESSURE,2024-09-10T16:15:00+00:00,2024-09-10T16:30:00+00:00
OPT-LONG-8a8ba85100356494:1725988500000,DISCOVERY,THESIS_PRESSURE,2024-09-10T17:15:00+00:00,2024-09-10T17:30:00+00:00
OPT-LONG-8a8ba85100356494:1725996600000,DISCOVERY,CONTINUATION,2024-09-10T19:30:00+00:00,2024-09-10T19:45:00+00:00
OPT-LONG-8a8ba85100356494:1726067700000,DISCOVERY,THESIS_PRESSURE,2024-09-11T15:15:00+00:00,2024-09-11T15:30:00+00:00
OPT-LONG-8a8ba85100356494:1726072200000,DISCOVERY,THESIS_PRESSURE,2024-09-11T16:30:00+00:00,2024-09-11T16:45:00+00:00
OPT-LONG-8a8ba85100356494:1726074000000,DISCOVERY,CONTINUATION,2024-09-11T17:00:00+00:00,2024-09-11T17:15:00+00:00
OPT-LONG-8a8ba85100356494:1726237800000,DISCOVERY,CONTINUATION,2024-09-13T14:30:00+00:00,2024-09-13T14:45:00+00:00
OPT-LONG-8a8ba85100356494:1726246800000,DISCOVERY,THESIS_PRESSURE,2024-09-13T17:00:00+00:00,2024-09-13T17:15:00+00:00
OPT-LONG-8a8ba85100356494:1726254900000,DISCOVERY,THESIS_PRESSURE,2024-09-13T19:15:00+00:00,2024-09-13T19:30:00+00:00
OPT-LONG-736c78fc8c0427a2:1770398100000,HOLDOUT,CONTINUATION,2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00
OPT-LONG-736c78fc8c0427a2:1770650100000,HOLDOUT,THESIS_PRESSURE,2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00
OPT-LONG-736c78fc8c0427a2:1770654600000,HOLDOUT,THESIS_PRESSURE,2026-02-09T16:30:00+00:00,2026-02-09T16:45:00+00:00
OPT-LONG-736c78fc8c0427a2:1770741000000,HOLDOUT,ENTRY_FORMING,2026-02-10T16:30:00+00:00,2026-02-10T16:45:00+00:00
OPT-LONG-736c78fc8c0427a2:1770749100000,HOLDOUT,THESIS_PRESSURE,2026-02-10T18:45:00+00:00,2026-02-10T19:00:00+00:00
OPT-LONG-736c78fc8c0427a2:1770820200000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:30:00+00:00,2026-02-11T14:45:00+00:00
OPT-LONG-736c78fc8c0427a2:1770821100000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:45:00+00:00,2026-02-11T15:00:00+00:00
OPT-LONG-c8fd67a5c31d8351:1770398100000,HOLDOUT,CONTINUATION,2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00
OPT-LONG-c8fd67a5c31d8351:1770650100000,HOLDOUT,THESIS_PRESSURE,2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00
OPT-LONG-c8fd67a5c31d8351:1770654600000,HOLDOUT,THESIS_PRESSURE,2026-02-09T16:30:00+00:00,2026-02-09T16:45:00+00:00
OPT-LONG-c8fd67a5c31d8351:1770741000000,HOLDOUT,ENTRY_FORMING,2026-02-10T16:30:00+00:00,2026-02-10T16:45:00+00:00
OPT-LONG-c8fd67a5c31d8351:1770749100000,HOLDOUT,THESIS_PRESSURE,2026-02-10T18:45:00+00:00,2026-02-10T19:00:00+00:00
OPT-LONG-c8fd67a5c31d8351:1770820200000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:30:00+00:00,2026-02-11T14:45:00+00:00
OPT-LONG-c8fd67a5c31d8351:1770821100000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:45:00+00:00,2026-02-11T15:00:00+00:00
OPT-LONG-c8fd67a5c31d8351:1771426800000,HOLDOUT,ENTRY_FORMING,2026-02-18T15:00:00+00:00,2026-02-18T15:15:00+00:00
OPT-LONG-c8fd67a5c31d8351:1771512300000,HOLDOUT,CONTINUATION,2026-02-19T14:45:00+00:00,2026-02-19T15:00:00+00:00
OPT-LONG-c8fd67a5c31d8351:1771520400000,HOLDOUT,THESIS_PRESSURE,2026-02-19T17:00:00+00:00,2026-02-19T17:15:00+00:00
OPT-LONG-c8fd67a5c31d8351:1771524900000,HOLDOUT,THESIS_PRESSURE,2026-02-19T18:15:00+00:00,2026-02-19T18:30:00+00:00
OPT-LONG-c8fd67a5c31d8351:1771532100000,HOLDOUT,CONTINUATION,2026-02-19T20:15:00+00:00,2026-02-19T20:30:00+00:00
OPT-LONG-c8fd67a5c31d8351:1771603200000,HOLDOUT,THESIS_PRESSURE,2026-02-20T16:00:00+00:00,2026-02-20T16:15:00+00:00
OPT-LONG-c8fd67a5c31d8351:1771606800000,HOLDOUT,THESIS_PRESSURE,2026-02-20T17:00:00+00:00,2026-02-20T17:15:00+00:00
OPT-LONG-337a6d74e073a67f:1770398100000,HOLDOUT,CONTINUATION,2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00
OPT-LONG-337a6d74e073a67f:1770650100000,HOLDOUT,THESIS_PRESSURE,2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00
OPT-LONG-337a6d74e073a67f:1770820200000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:30:00+00:00,2026-02-11T14:45:00+00:00
OPT-LONG-337a6d74e073a67f:1770821100000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:45:00+00:00,2026-02-11T15:00:00+00:00
OPT-LONG-3b8a07c5881290bf:1770650100000,HOLDOUT,THESIS_PRESSURE,2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00
OPT-LONG-3b8a07c5881290bf:1770654600000,HOLDOUT,THESIS_PRESSURE,2026-02-09T16:30:00+00:00,2026-02-09T16:45:00+00:00
OPT-LONG-3b8a07c5881290bf:1770741000000,HOLDOUT,ENTRY_FORMING,2026-02-10T16:30:00+00:00,2026-02-10T16:45:00+00:00
OPT-LONG-3b8a07c5881290bf:1770749100000,HOLDOUT,THESIS_PRESSURE,2026-02-10T18:45:00+00:00,2026-02-10T19:00:00+00:00
OPT-LONG-3b8a07c5881290bf:1770820200000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:30:00+00:00,2026-02-11T14:45:00+00:00
OPT-LONG-3b8a07c5881290bf:1770821100000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:45:00+00:00,2026-02-11T15:00:00+00:00
OPT-LONG-803d4b5769c04927:1770650100000,HOLDOUT,THESIS_PRESSURE,2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00
OPT-LONG-803d4b5769c04927:1770654600000,HOLDOUT,THESIS_PRESSURE,2026-02-09T16:30:00+00:00,2026-02-09T16:45:00+00:00
OPT-LONG-803d4b5769c04927:1770741000000,HOLDOUT,ENTRY_FORMING,2026-02-10T16:30:00+00:00,2026-02-10T16:45:00+00:00
OPT-LONG-803d4b5769c04927:1770749100000,HOLDOUT,THESIS_PRESSURE,2026-02-10T18:45:00+00:00,2026-02-10T19:00:00+00:00
OPT-LONG-803d4b5769c04927:1770820200000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:30:00+00:00,2026-02-11T14:45:00+00:00
OPT-LONG-803d4b5769c04927:1770821100000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:45:00+00:00,2026-02-11T15:00:00+00:00
OPT-LONG-803d4b5769c04927:1771426800000,HOLDOUT,ENTRY_FORMING,2026-02-18T15:00:00+00:00,2026-02-18T15:15:00+00:00
OPT-LONG-803d4b5769c04927:1771512300000,HOLDOUT,CONTINUATION,2026-02-19T14:45:00+00:00,2026-02-19T15:00:00+00:00
OPT-LONG-803d4b5769c04927:1771520400000,HOLDOUT,THESIS_PRESSURE,2026-02-19T17:00:00+00:00,2026-02-19T17:15:00+00:00
OPT-LONG-803d4b5769c04927:1771524900000,HOLDOUT,THESIS_PRESSURE,2026-02-19T18:15:00+00:00,2026-02-19T18:30:00+00:00
OPT-LONG-803d4b5769c04927:1771532100000,HOLDOUT,CONTINUATION,2026-02-19T20:15:00+00:00,2026-02-19T20:30:00+00:00
OPT-LONG-803d4b5769c04927:1771603200000,HOLDOUT,THESIS_PRESSURE,2026-02-20T16:00:00+00:00,2026-02-20T16:15:00+00:00
OPT-LONG-803d4b5769c04927:1771606800000,HOLDOUT,THESIS_PRESSURE,2026-02-20T17:00:00+00:00,2026-02-20T17:15:00+00:00
OPT-LONG-51bcb1f7a3d1ae79:1770650100000,HOLDOUT,THESIS_PRESSURE,2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00
OPT-LONG-51bcb1f7a3d1ae79:1770820200000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:30:00+00:00,2026-02-11T14:45:00+00:00
OPT-LONG-51bcb1f7a3d1ae79:1770821100000,HOLDOUT,THESIS_PRESSURE,2026-02-11T14:45:00+00:00,2026-02-11T15:00:00+00:00
OPT-LONG-48181e79b2fd4500:1786464000000,HOLDOUT,THESIS_PRESSURE,2026-08-11T16:00:00+00:00,2026-08-11T16:15:00+00:00
OPT-LONG-48181e79b2fd4500:1786467600000,HOLDOUT,THESIS_PRESSURE,2026-08-11T17:00:00+00:00,2026-08-11T17:15:00+00:00
