anchor_id,symbol,ticker,contract_type,strike,expiration,dte_target,moneyness_target,partition,event_family,decision_available_utc,signal_bar_open_utc,coverage_before,coverage_at,coverage_after,left_censored,signal_bar_exists,bar_count,selection_policy,moneyness_band,moneyness_distance_pct,moneyness_pct,dte,window,underlying_bars_forward,cutoff_time_ms,censor_reason,right_censored,observed_bars,decision_close,next_bar_open,decision_to_next_open_gap_pct,mfe_pct,mae_pct,terminal_return_pct,bars_to_peak,bars_to_trough,peak_to_terminal_giveback_pct,gain_retention,decision_close_mfe_pct,decision_close_mae_pct,peak_before_trough,outcome_status
PYPL-0001,PYPL,O:PYPL240906C00071000,CALL,71.0,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T17:45:00+00:00,2024-08-22T17:30:00+00:00,72,0,185,False,False,257,WITHIN_TOLERANCE,NEAR_ATM,0.3661971830985987,0.3661971830985987,15,H1,4,1724351400000,,False,,,,,,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT
PYPL-0001,PYPL,O:PYPL240906C00071000,CALL,71.0,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T17:45:00+00:00,2024-08-22T17:30:00+00:00,72,0,185,False,False,257,WITHIN_TOLERANCE,NEAR_ATM,0.3661971830985987,0.3661971830985987,15,D1,26,1724434200000,,False,,,,,,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT
PYPL-0001,PYPL,O:PYPL240906C00071000,CALL,71.0,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T17:45:00+00:00,2024-08-22T17:30:00+00:00,72,0,185,False,False,257,WITHIN_TOLERANCE,NEAR_ATM,0.3661971830985987,0.3661971830985987,15,D3,78,1724779800000,,False,,,,,,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT
PYPL-0001,PYPL,O:PYPL240906C00071000,CALL,71.0,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T17:45:00+00:00,2024-08-22T17:30:00+00:00,72,0,185,False,False,257,WITHIN_TOLERANCE,NEAR_ATM,0.3661971830985987,0.3661971830985987,15,D5,130,1724952600000,,False,,,,,,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT
PYPL-0001,PYPL,O:PYPL240906C00071000,CALL,71.0,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T17:45:00+00:00,2024-08-22T17:30:00+00:00,72,0,185,False,False,257,WITHIN_TOLERANCE,NEAR_ATM,0.3661971830985987,0.3661971830985987,15,D10,260,1725643800000,,False,,,,,,,,,,,,,,,UNSCORED_SIGNAL_BAR_ABSENT
GME-0001,GME,O:GME240906C00022500,CALL,22.5,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T18:15:00+00:00,2024-08-22T18:00:00+00:00,99,1,255,False,True,355,WITHIN_TOLERANCE,NEAR_ATM,0.31511111111111884,-0.31511111111111884,15,H1,4,1724353200000,,False,1,1.12,1.14,1.7857142857142572,1.7543859649122862,-2.631578947368407,-2.631578947368407,1,1,-4.310344827586188,-1.4999999999999873,3.5714285714285587,-0.8928571428571397,False,SCORED_WINDOW
GME-0001,GME,O:GME240906C00022500,CALL,22.5,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T18:15:00+00:00,2024-08-22T18:00:00+00:00,99,1,255,False,True,355,WITHIN_TOLERANCE,NEAR_ATM,0.31511111111111884,-0.31511111111111884,15,D1,26,1724436000000,,False,20,1.12,1.14,1.7857142857142572,5.263157894736836,-15.78947368421052,-12.280701754385959,8,14,-16.666666666666664,-2.333333333333335,7.14285714285714,-14.285714285714302,True,SCORED_WINDOW
GME-0001,GME,O:GME240906C00022500,CALL,22.5,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T18:15:00+00:00,2024-08-22T18:00:00+00:00,99,1,255,False,True,355,WITHIN_TOLERANCE,NEAR_ATM,0.31511111111111884,-0.31511111111111884,15,D3,78,1724781600000,,False,70,1.12,1.14,1.7857142857142572,5.263157894736836,-72.80701754385966,-67.54385964912281,8,55,-69.16666666666667,-12.833333333333348,7.14285714285714,-72.32142857142858,True,SCORED_WINDOW
GME-0001,GME,O:GME240906C00022500,CALL,22.5,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T18:15:00+00:00,2024-08-22T18:00:00+00:00,99,1,255,False,True,355,WITHIN_TOLERANCE,NEAR_ATM,0.31511111111111884,-0.31511111111111884,15,D5,130,1724954400000,,False,118,1.12,1.14,1.7857142857142572,14.035087719298268,-82.45614035087719,-15.78947368421052,116,83,-26.15384615384616,-1.1249999999999978,16.07142857142856,-82.14285714285714,False,SCORED_WINDOW
GME-0001,GME,O:GME240906C00022500,CALL,22.5,2024-09-06,14,0.0,DISCOVERY,THESIS_PRESSURE,2024-08-22T18:15:00+00:00,2024-08-22T18:00:00+00:00,99,1,255,False,True,355,WITHIN_TOLERANCE,NEAR_ATM,0.31511111111111884,-0.31511111111111884,15,D10,260,1725645600000,,False,248,1.12,1.14,1.7857142857142572,122.80701754385967,-94.73684210526315,-29.824561403508763,152,235,-68.50393700787401,-0.24285714285714274,126.78571428571428,-94.64285714285714,True,SCORED_WINDOW
