signal_bar_open_utc,decision_available_utc,session_date,spot,event_family,events,campaign_health,phase_confidence,weakness_count,partition,symbol,anchor_id
2024-08-22T19:00:00+00:00,2024-08-22T19:15:00+00:00,2024-08-22,22.53,CONTINUATION,RELOAD,64.0,50.0,2.0,DISCOVERY,GME,GME-PR-0001
2024-08-22T19:30:00+00:00,2024-08-22T19:45:00+00:00,2024-08-22,10.425,CONTINUATION,RELOAD,9.0,26.0,0.0,DISCOVERY,VALE,VALE-PR-0001
2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23,267.49,CONTINUATION,RELOAD,78.0,59.0,0.0,DISCOVERY,LULU,LULU-PR-0001
2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23,559.32,CONTINUATION,RELOAD,25.0,32.0,0.0,DISCOVERY,SPY,SPY-PR-0001
2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23,216.3271,CONTINUATION,RELOAD,20.0,31.0,0.0,DISCOVERY,TSLA,TSLA-PR-0001
2024-08-23T13:30:00+00:00,2024-08-23T13:45:00+00:00,2024-08-23,17.1702,CONTINUATION,RELOAD,74.0,54.0,0.0,DISCOVERY,U,U-PR-0001
2024-08-23T14:15:00+00:00,2024-08-23T14:30:00+00:00,2024-08-23,71.685,CONTINUATION,RELOAD,53.0,39.0,2.0,DISCOVERY,PYPL,PYPL-PR-0001
2024-08-23T19:30:00+00:00,2024-08-23T19:45:00+00:00,2024-08-23,561.245,ENTRY_FORMING,STRONG START,100.0,67.0,0.0,DISCOVERY,SPY,SPY-PR-0002
2024-08-23T19:45:00+00:00,2024-08-23T20:00:00+00:00,2024-08-23,44.17,ENTRY_FORMING,IGNITION,100.0,67.0,0.0,DISCOVERY,RBLX,RBLX-PR-0001
2024-08-26T19:45:00+00:00,2024-08-26T20:00:00+00:00,2024-08-26,17.73,ENTRY_FORMING,STRONG START,38.0,25.0,8.0,DISCOVERY,U,U-PR-0002
2024-08-29T19:15:00+00:00,2024-08-29T19:30:00+00:00,2024-08-29,73.33,ENTRY_FORMING,STRONG START,98.0,66.0,0.0,DISCOVERY,PYPL,PYPL-PR-0002
2024-08-30T13:45:00+00:00,2024-08-30T14:00:00+00:00,2024-08-30,44.13,CONTINUATION,RELOAD,77.0,51.0,0.0,DISCOVERY,RBLX,RBLX-PR-0002
2024-09-04T13:45:00+00:00,2024-09-04T14:00:00+00:00,2024-09-04,23.53,ENTRY_FORMING,IGNITION,98.0,66.0,0.0,DISCOVERY,GME,GME-PR-0002
2024-09-05T19:45:00+00:00,2024-09-05T20:00:00+00:00,2024-09-05,230.18,ENTRY_FORMING,IGNITION,100.0,67.0,0.0,DISCOVERY,TSLA,TSLA-PR-0002
2024-09-05T19:45:00+00:00,2024-09-05T20:00:00+00:00,2024-09-05,10.24,ENTRY_FORMING,CAMPAIGN START,90.0,58.0,0.0,DISCOVERY,VALE,VALE-PR-0002
2024-09-10T17:30:00+00:00,2024-09-10T17:45:00+00:00,2024-09-10,16.74,CONTINUATION,RELOAD,64.0,52.0,0.0,DISCOVERY,U,U-PR-0003
2024-09-13T19:45:00+00:00,2024-09-13T20:00:00+00:00,2024-09-13,266.7,ENTRY_FORMING,STRONG START,100.0,67.0,0.0,DISCOVERY,LULU,LULU-PR-0002
2024-09-17T13:45:00+00:00,2024-09-17T14:00:00+00:00,2024-09-17,71.66,CONTINUATION,ADD,97.0,77.0,0.0,DISCOVERY,PYPL,PYPL-PR-0003
2024-09-18T18:00:00+00:00,2024-09-18T18:15:00+00:00,2024-09-18,230.72,CONTINUATION,RELOAD,67.0,51.0,2.0,DISCOVERY,TSLA,TSLA-PR-0003
2024-09-23T18:45:00+00:00,2024-09-23T19:00:00+00:00,2024-09-23,569.46,ENTRY_FORMING,STRONG START,100.0,67.0,0.0,DISCOVERY,SPY,SPY-PR-0003
2024-09-26T14:00:00+00:00,2024-09-26T14:15:00+00:00,2024-09-26,22.58,ENTRY_FORMING,STRONG START,99.0,67.0,0.0,DISCOVERY,GME,GME-PR-0003
2024-09-27T18:45:00+00:00,2024-09-27T19:00:00+00:00,2024-09-27,572.19,CONTINUATION,RELOAD,50.0,42.0,0.0,DISCOVERY,SPY,SPY-PR-0004
2024-09-30T13:30:00+00:00,2024-09-30T13:45:00+00:00,2024-09-30,23.28,CONTINUATION,RELOAD,76.0,59.0,0.0,DISCOVERY,U,U-PR-0004
2024-09-30T19:45:00+00:00,2024-09-30T20:00:00+00:00,2024-09-30,261.605,CONTINUATION,RELOAD,61.0,46.0,3.0,DISCOVERY,TSLA,TSLA-PR-0004
2024-10-09T13:30:00+00:00,2024-10-09T13:45:00+00:00,2024-10-09,41.08,ENTRY_FORMING,STRONG START,86.0,57.0,0.0,DISCOVERY,RBLX,RBLX-PR-0003
2024-10-10T19:45:00+00:00,2024-10-10T20:00:00+00:00,2024-10-10,273.58,ENTRY_FORMING,STRONG START,95.0,65.0,0.0,DISCOVERY,LULU,LULU-PR-0003
2024-10-11T15:30:00+00:00,2024-10-11T15:45:00+00:00,2024-10-11,21.04,CONTINUATION,ADD,96.0,71.0,0.0,DISCOVERY,GME,GME-PR-0004
2024-10-11T19:30:00+00:00,2024-10-11T19:45:00+00:00,2024-10-11,80.36,ENTRY_FORMING,STRONG START,100.0,67.0,0.0,DISCOVERY,PYPL,PYPL-PR-0004
2024-10-14T19:15:00+00:00,2024-10-14T19:30:00+00:00,2024-10-14,11.085,CONTINUATION,ADD,94.0,79.0,0.0,DISCOVERY,VALE,VALE-PR-0003
2024-10-15T13:30:00+00:00,2024-10-15T13:45:00+00:00,2024-10-15,41.315,CONTINUATION,RELOAD,55.0,39.0,0.0,DISCOVERY,RBLX,RBLX-PR-0004
2024-10-16T13:30:00+00:00,2024-10-16T13:45:00+00:00,2024-10-16,79.815,CONTINUATION,RELOAD,36.0,38.0,0.0,DISCOVERY,PYPL,PYPL-PR-0005
2024-10-16T13:30:00+00:00,2024-10-16T13:45:00+00:00,2024-10-16,10.875,ENTRY_FORMING,STRONG START,11.0,7.0,9.0,DISCOVERY,VALE,VALE-PR-0004
2024-10-18T19:30:00+00:00,2024-10-18T19:45:00+00:00,2024-10-18,22.02,ENTRY_FORMING,STRONG START,100.0,67.0,0.0,DISCOVERY,U,U-PR-0005
2024-10-22T17:30:00+00:00,2024-10-22T17:45:00+00:00,2024-10-22,583.45,CONTINUATION,RELOAD,27.0,36.0,0.0,DISCOVERY,SPY,SPY-PR-0005
2024-10-24T15:45:00+00:00,2024-10-24T16:00:00+00:00,2024-10-24,81.4297,CONTINUATION,ADD,97.0,71.0,0.0,DISCOVERY,PYPL,PYPL-PR-0006
2024-10-24T19:00:00+00:00,2024-10-24T19:15:00+00:00,2024-10-24,579.21,ENTRY_FORMING,STRONG START,82.0,56.0,0.0,DISCOVERY,SPY,SPY-PR-0006
2024-10-25T13:45:00+00:00,2024-10-25T14:00:00+00:00,2024-10-25,20.675,ENTRY_FORMING,STRONG START,0.0,0.0,21.0,DISCOVERY,GME,GME-PR-0005
2024-10-29T17:45:00+00:00,2024-10-29T18:00:00+00:00,2024-10-29,305.95,CONTINUATION,RELOAD,55.0,47.0,0.0,DISCOVERY,LULU,LULU-PR-0004
2024-11-05T16:15:00+00:00,2024-11-05T16:30:00+00:00,2024-11-05,50.8161,CONTINUATION,RELOAD,79.0,54.0,0.0,DISCOVERY,RBLX,RBLX-PR-0005
2024-11-07T20:00:00+00:00,2024-11-07T20:15:00+00:00,2024-11-07,22.42,CONTINUATION,ADD,99.0,85.0,0.0,DISCOVERY,U,U-PR-0006
2024-11-07T20:45:00+00:00,2024-11-07T21:00:00+00:00,2024-11-07,296.75,ENTRY_FORMING,IGNITION,100.0,67.0,0.0,DISCOVERY,TSLA,TSLA-PR-0005
2024-11-08T17:30:00+00:00,2024-11-08T17:45:00+00:00,2024-11-08,24.4199,CONTINUATION,ADD,99.0,84.0,0.0,DISCOVERY,GME,GME-PR-0006
2024-11-19T15:30:00+00:00,2024-11-19T15:45:00+00:00,2024-11-19,10.045,ENTRY_FORMING,STRONG START,96.0,65.0,0.0,DISCOVERY,VALE,VALE-PR-0005
2024-11-20T20:30:00+00:00,2024-11-20T20:45:00+00:00,2024-11-20,306.94,ENTRY_FORMING,STRONG START,85.0,57.0,0.0,DISCOVERY,LULU,LULU-PR-0005
2024-11-20T20:30:00+00:00,2024-11-20T20:45:00+00:00,2024-11-20,84.605,ENTRY_FORMING,STRONG START,94.0,64.0,0.0,DISCOVERY,PYPL,PYPL-PR-0007
2024-11-21T20:30:00+00:00,2024-11-21T20:45:00+00:00,2024-11-21,594.3,ENTRY_FORMING,STRONG START,96.0,65.0,0.0,DISCOVERY,SPY,SPY-PR-0007
2024-11-22T14:30:00+00:00,2024-11-22T14:45:00+00:00,2024-11-22,85.94,CONTINUATION,ADD,92.0,74.0,0.0,DISCOVERY,PYPL,PYPL-PR-0008
2024-11-27T19:30:00+00:00,2024-11-27T19:45:00+00:00,2024-11-27,31.48,CONTINUATION,ADD,100.0,83.0,0.0,DISCOVERY,GME,GME-PR-0007
2024-11-29T14:30:00+00:00,2024-11-29T14:45:00+00:00,2024-11-29,50.0799,ENTRY_FORMING,STRONG START,75.0,55.0,0.0,DISCOVERY,RBLX,RBLX-PR-0006
2024-11-29T14:45:00+00:00,2024-11-29T15:00:00+00:00,2024-11-29,338.8403,ENTRY_FORMING,STRONG START,82.0,54.0,0.0,DISCOVERY,TSLA,TSLA-PR-0006
