symbol,cell,discovery_episodes,holdout_episodes,discovery_ok,holdout_ok,cell_pass
GME,CALL/14,16,10,False,True,False
GME,CALL/30,13,5,False,False,False
GME,PUT/14,5,5,False,False,False
GME,PUT/30,4,1,False,False,False
LULU,CALL/14,13,2,False,False,False
LULU,CALL/30,7,4,False,False,False
LULU,PUT/14,2,3,False,False,False
LULU,PUT/30,4,1,False,False,False
PYPL,CALL/14,20,6,True,False,False
PYPL,CALL/30,14,4,False,False,False
PYPL,PUT/14,10,2,False,False,False
PYPL,PUT/30,7,1,False,False,False
RBLX,CALL/14,8,2,False,False,False
RBLX,CALL/30,7,3,False,False,False
RBLX,PUT/14,5,2,False,False,False
RBLX,PUT/30,1,1,False,False,False
SPY,CALL/14,16,1,False,False,False
SPY,CALL/30,19,1,False,False,False
SPY,PUT/14,17,1,False,False,False
SPY,PUT/30,20,1,True,False,False
TSLA,CALL/14,20,8,True,False,False
TSLA,CALL/30,20,11,True,True,True
TSLA,PUT/14,20,8,True,False,False
TSLA,PUT/30,20,11,True,True,True
U,CALL/14,9,1,False,False,False
U,CALL/30,4,2,False,False,False
U,PUT/14,1,0,False,False,False
U,PUT/30,0,0,False,False,False
VALE,CALL/14,1,2,False,False,False
VALE,CALL/30,2,2,False,False,False
VALE,PUT/14,1,0,False,False,False
VALE,PUT/30,1,1,False,False,False
