episode_id,entry_anchor_id,ticker,contract_type,strike,expiration,dte_target,moneyness_target,partition,entry_event_family,entry_signal_bar_open_utc,entry_decision_available_utc,entry_execution_bar_open_utc,entry_price,execution_status,research_scope,episode_end_utc,symbol
OPT-LONG-b93d0b0aadcd7338,GME-PR-0002,O:GME240920C00023500,CALL,23.5,2024-09-20,14,0.0,DISCOVERY,ENTRY_FORMING,2024-09-04T13:45:00+00:00,2024-09-04T14:00:00+00:00,2024-09-04T14:00:00+00:00,2.2,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-20T23:59:59.999999+00:00,GME
OPT-LONG-d8755edecb4c4e96,GME-PR-0002,O:GME241004C00023500,CALL,23.5,2024-10-04,30,0.0,DISCOVERY,ENTRY_FORMING,2024-09-04T13:45:00+00:00,2024-09-04T14:00:00+00:00,2024-09-04T14:00:00+00:00,2.7,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-09-25T14:00:00+00:00,GME
OPT-LONG-29f383dd2b896a99,GME-PR-0003,O:GME241011C00022500,CALL,22.5,2024-10-11,14,0.0,DISCOVERY,ENTRY_FORMING,2024-09-26T14:00:00+00:00,2024-09-26T14:15:00+00:00,2024-09-26T14:15:00+00:00,1.34,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-10-11T23:59:59.999999+00:00,GME
OPT-LONG-a9ecca6ed63b26b8,GME-PR-0003,O:GME241025C00022500,CALL,22.5,2024-10-25,30,0.0,DISCOVERY,ENTRY_FORMING,2024-09-26T14:00:00+00:00,2024-09-26T14:15:00+00:00,2024-09-26T14:15:00+00:00,1.8,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-10-17T14:15:00+00:00,GME
OPT-LONG-c9b0386b2022e413,GME-PR-0006,O:GME241206C00024500,CALL,24.5,2024-12-06,30,0.0,DISCOVERY,CONTINUATION,2024-11-08T17:30:00+00:00,2024-11-08T17:45:00+00:00,2024-11-08T17:45:00+00:00,2.27,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-11-29T17:45:00+00:00,GME
OPT-LONG-8a4f93d5e1ecc526,GME-PR-0007,O:GME241227C00031500,CALL,31.5,2024-12-27,30,0.0,DISCOVERY,CONTINUATION,2024-11-27T19:30:00+00:00,2024-11-27T19:45:00+00:00,2024-11-27T19:45:00+00:00,4.55,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-12-18T19:45:00+00:00,GME
OPT-LONG-dc7fdd36e0920b2e,GME-PR-0008,O:GME241227C00029000,CALL,29.0,2024-12-27,14,0.0,DISCOVERY,ENTRY_FORMING,2024-12-12T14:30:00+00:00,2024-12-12T14:45:00+00:00,2024-12-12T14:45:00+00:00,2.01,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2024-12-27T23:59:59.999999+00:00,GME
OPT-LONG-6accba9816bccd3c,GME-PR-0008,O:GME250110C00029000,CALL,29.0,2025-01-10,30,0.0,DISCOVERY,ENTRY_FORMING,2024-12-12T14:30:00+00:00,2024-12-12T14:45:00+00:00,2024-12-12T14:45:00+00:00,3.4,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-01-02T14:45:00+00:00,GME
OPT-LONG-b5ca08e5cf2cd613,GME-PR-0011,O:GME250328C00025000,CALL,25.0,2025-03-28,30,0.0,DISCOVERY,ENTRY_FORMING,2025-02-27T15:15:00+00:00,2025-02-27T15:30:00+00:00,2025-02-27T15:30:00+00:00,2.58,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-03-20T15:30:00+00:00,GME
OPT-LONG-2e78716502e78034,GME-PR-0012,O:GME250411C00025500,CALL,25.5,2025-04-11,14,0.0,DISCOVERY,ENTRY_FORMING,2025-03-25T19:00:00+00:00,2025-03-25T19:15:00+00:00,2025-03-25T19:15:00+00:00,1.82,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-04-11T23:59:59.999999+00:00,GME
OPT-LONG-4d4b2646d8eeecbe,GME-PR-0012,O:GME250425C00025000,CALL,25.0,2025-04-25,30,0.0,DISCOVERY,ENTRY_FORMING,2025-03-25T19:00:00+00:00,2025-03-25T19:15:00+00:00,2025-03-25T19:15:00+00:00,2.46,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-04-15T19:15:00+00:00,GME
OPT-LONG-e9165add3a935b1d,GME-PR-0012,O:GME250425P00025000,PUT,25.0,2025-04-25,30,0.0,DISCOVERY,ENTRY_FORMING,2025-03-25T19:00:00+00:00,2025-03-25T19:15:00+00:00,2025-03-25T19:15:00+00:00,1.96,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-04-15T19:15:00+00:00,GME
OPT-LONG-41b6dea2c4c98109,GME-PR-0013,O:GME250417C00022500,CALL,22.5,2025-04-17,14,0.0,DISCOVERY,CONTINUATION,2025-04-02T19:30:00+00:00,2025-04-02T19:45:00+00:00,2025-04-02T19:45:00+00:00,1.4,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-04-17T23:59:59.999999+00:00,GME
OPT-LONG-aafe219172f17212,GME-PR-0013,O:GME250502C00023000,CALL,23.0,2025-05-02,30,0.0,DISCOVERY,CONTINUATION,2025-04-02T19:30:00+00:00,2025-04-02T19:45:00+00:00,2025-04-02T19:45:00+00:00,1.78,EXACT_NEXT_BAR_OPEN,SIMULATED_LONG_PREMIUM_NO_COST_MODEL,2025-04-23T19:45:00+00:00,GME
