anchor_id,symbol,ticker,contract_type,dte_target,reason
PYPL-0001,PYPL,O:PYPL240906C00071000,CALL,14,signal option bar absent
LULU-0001,LULU,O:LULU240906C00262500,CALL,14,signal option bar absent
GME-0002,GME,O:GME240906C00022500,CALL,14,signal option bar absent
VALE-0001,VALE,O:VALE240906C00010500,CALL,14,signal option bar absent
LULU-0003,LULU,O:LULU240906C00272500,CALL,14,insufficient matched history
U-0003,U,O:U240906C00017500,CALL,14,signal option bar absent
SPY-0003,SPY,O:SPY240910C00558000,CALL,14,insufficient matched history
SPY-0003,SPY,O:SPY240910C00558000,CALL,14,sparse option activity
PYPL-0003,PYPL,O:PYPL240913C00073000,CALL,14,signal option bar absent
RBLX-0002,RBLX,O:RBLX240913C00044000,CALL,14,signal option bar absent
RBLX-0003,RBLX,O:RBLX240913C00044000,CALL,14,signal option bar absent
VALE-0003,VALE,O:VALE240920C00010000,CALL,14,signal option bar absent
LULU-0004,LULU,O:LULU240927C00267500,CALL,14,signal option bar absent
SPY-0004,SPY,O:SPY241001C00564000,CALL,14,insufficient matched history
SPY-0004,SPY,O:SPY241001C00564000,CALL,14,sparse option activity
SPY-0004,SPY,O:SPY241001C00564000,CALL,14,zero or insufficient underlying variance
U-0006,U,O:U241025C00021000,CALL,14,signal option bar absent
SPY-0005,SPY,O:SPY241104C00582000,CALL,14,insufficient matched history
SPY-0005,SPY,O:SPY241104C00582000,CALL,14,sparse option activity
SPY-0007,SPY,O:SPY241107C00579000,CALL,14,signal option bar absent
RBLX-0007,RBLX,O:RBLX241122C00052000,CALL,14,signal option bar absent
VALE-0005,VALE,O:VALE241206C00010000,CALL,14,signal option bar absent
LULU-0006,LULU,O:LULU241206C00307500,CALL,14,signal option bar absent
U-0007,U,O:U241206C00022500,CALL,14,signal option bar absent
LULU-0008,LULU,O:LULU241227C00397500,CALL,14,signal option bar absent
VALE-0007,VALE,O:VALE250110C00009000,CALL,14,signal option bar absent
SPY-0009,SPY,O:SPY250113C00587000,CALL,14,insufficient matched history
SPY-0009,SPY,O:SPY250113C00587000,CALL,14,sparse option activity
GME-0010,GME,O:GME250117C00032500,CALL,14,signal option bar absent
RBLX-0010,RBLX,O:RBLX250124C00061000,CALL,14,signal option bar absent
SPY-0010,SPY,O:SPY250122C00590000,CALL,14,insufficient matched history
RBLX-0011,RBLX,O:RBLX250124C00061000,CALL,14,signal option bar absent
PYPL-0012,PYPL,O:PYPL250214C00090000,CALL,14,signal option bar absent
