symbol,timeframe,classified_bars,agreement_rate,reliable
AMC,5m,1959,0.443,1
AMC,15m,577,0.496,1
AMC,30m,269,0.416,1
AMC,1H,92,0.533,1
AMC,2H,53,0.585,1
AMC,3H,54,0.537,1
AMC,4H,34,0.588,1
GME,5m,2073,0.462,1
GME,15m,701,0.469,1
GME,30m,293,0.495,1
GME,1H,162,0.426,1
GME,2H,95,0.526,1
GME,3H,84,0.595,1
GME,4H,32,0.562,1
PYPL,5m,1885,0.444,1
PYPL,15m,699,0.519,1
PYPL,30m,373,0.483,1
PYPL,1H,152,0.559,1
PYPL,2H,86,0.547,1
PYPL,3H,90,0.511,1
PYPL,4H,43,0.558,1
RBLX,5m,2123,0.472,1
RBLX,15m,735,0.444,1
RBLX,30m,331,0.426,1
RBLX,1H,162,0.506,1
RBLX,2H,90,0.722,1
RBLX,3H,62,0.452,1
RBLX,4H,29,0.552,1
SPY,5m,2140,0.47,1
SPY,15m,785,0.478,1
SPY,30m,396,0.518,1
SPY,1H,199,0.528,1
SPY,2H,117,0.581,1
SPY,3H,105,0.543,1
SPY,4H,45,0.444,1
VALE,5m,2140,0.432,1
VALE,15m,817,0.472,1
VALE,30m,409,0.369,1
VALE,1H,126,0.421,1
VALE,2H,65,0.585,1
VALE,3H,86,0.512,1
VALE,4H,54,0.574,1
U,5m,1895,0.454,1
U,15m,696,0.46,1
U,30m,398,0.45,1
U,1H,158,0.481,1
U,2H,88,0.568,1
U,3H,79,0.544,1
U,4H,42,0.381,1
