symbol,timeframe,event_count,median_gap_min,p90_gap_min
AMC,5m,1979,50.0,1370.0
AMC,15m,590,315.0,4575.0
AMC,30m,278,1320.0,6894.0
AMC,1H,101,2820.0,29880.0
AMC,2H,63,5820.0,45438.0
AMC,3H,60,7200.0,40176.0
AMC,4H,41,10080.0,40398.0
AMC,1D,16,,
GME,5m,2100,50.0,1214.0
GME,15m,732,270.0,4125.0
GME,30m,296,1380.0,6918.0
GME,1H,167,2700.0,13710.0
GME,2H,97,4320.0,22020.0
GME,3H,106,7200.0,15156.0
GME,4H,44,9840.0,28080.0
GME,1D,23,,
PYPL,5m,1929,55.0,1333.0
PYPL,15m,722,315.0,4245.0
PYPL,30m,389,1320.0,5439.0
PYPL,1H,169,2640.0,9840.0
PYPL,2H,92,4320.0,15480.0
PYPL,3H,103,5400.0,14076.0
PYPL,4H,59,8640.0,22032.0
PYPL,1D,13,,
RBLX,5m,2169,50.0,1180.0
RBLX,15m,747,322.5,4087.5
RBLX,30m,341,1320.0,5703.0
RBLX,1H,176,2700.0,7176.0
RBLX,2H,92,5700.0,18840.0
RBLX,3H,75,7200.0,20388.0
RBLX,4H,43,9840.0,58008.0
RBLX,1D,10,,
SPY,5m,2168,50.0,1220.0
SPY,15m,801,315.0,4110.0
SPY,30m,409,1350.0,5538.0
SPY,1H,216,2580.0,7200.0
SPY,2H,125,5460.0,10080.0
SPY,3H,118,7200.0,12132.0
SPY,4H,63,10080.0,21696.0
SPY,1D,30,18720.0,32304.0
VALE,5m,2167,50.0,1167.5
VALE,15m,829,255.0,4065.0
VALE,30m,418,1320.0,5454.0
VALE,1H,128,2880.0,20616.0
VALE,2H,68,5880.0,27216.0
VALE,3H,92,7200.0,12780.0
VALE,4H,83,8880.0,18576.0
VALE,1D,20,,
U,5m,1931,55.0,1380.5
U,15m,734,315.0,4110.0
U,30m,417,1320.0,5475.0
U,1H,167,2880.0,10860.0
U,2H,88,5880.0,21408.0
U,3H,86,7200.0,20088.0
U,4H,62,9840.0,21600.0
U,1D,15,,
